28044
DXAU` XPCm
k\G PXYrVMScaYjiB
iVpP XX\paVnV
[jeFKrccQflTGfmc kcG[cSD
fPVGeqc ZTPZPSWTrYcNc
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
kcY]]]MM]M]] _klGOcMMMM
[h eKhi
SWUigm rrYERmmaYjXjeB^YUe
mn cBXEYE^BoM
klTeU`qbX cUr`EpVPCTGU
PXhcanBQfI iYjAIic`nh
iVYrXhcaVELqBYIb m
Z^NcG[Td[TA kUU`Jkr`ESffTj
KameB B
[hBX^UrWFBTCpma[ DBa
]Vp\PPLSLqBMRQjlY ilCmaY
Bp`YXh ]lNAZLLl^TYDTaU`qTQmLaYPmQ
[jeFKrccQflTGfmcD W^CQD
b Km
Pc^]_OON`O f`^]lPh\_OOOMO
ZYRFnPEWTMSkHcm^]_fmXBcSfl\M echTAMm
iYq iIeUgGe
kTdPTNdPchTdPlB cBYXCU`mnoiVTKZ^UC
cBo[q BjLq
XX\paVnV cUr`
P`ECam ZZLEXj
ecSmA mh
rr`ErDKU`dRFgeKeKeQReKeQmo`QmK WJFgeQmo
iYqcE[cYMM b[a
fM\c^]_O ZgQURmQLhDFjlmJLI\_N`
ZSD\AU`LabYcKQ[rc`ErTLa kTAZRQ[`YmLa
klB\F OmbJkV[W
kTNNdPcPFRkV`QUYZ]lVTPVGj_ Kh]GU_
ecGPch kTd[coTTK^]lIO
iVCam\ DWaT^T\TqpanfJBc[E]lNcSiYK
akchTd KQnokTd
WE[lUCoqfPVMbYcUJf rcAQej\llr
DXcaIJ_ KaIlEWLEAL_M
ZeQejXBCm^]_ rJkC^YK_B]_
KanfJcSfMTqYKanDY[jqLlC WX[e
DWBocMTdhaaIOncYM]]RRMMM ecY
$ echlBJkPRU`La
DiBRmXBhQAU`La fM
cUr`EpVPCTGUg klTeU`qbXg
DmlB^]KllpcBV`^]_Bl KmQj_N`OfYjXjiLYKl
N [EJLnhO
fPVGeqc ZTPZPSWTrYcNc
r\`mVamLcP c
MmTaU`ammmU`amaIOcP biol^
L[a mE[
Im ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ
KaINiSFRkPnniWj klUcX^FhdLhd
\M\m^cU`qYNK ]lAL[a
mn cBXEYE^BoM
kcY]]]MM]M]] JeY]M
ZmgqmUQea cUrYER^]_B]lniBrb^Y
rrYERmmaYjXjeB^YUe SWUigm
cNchcG[lBJk klT\TLQfeTZTGDTQpEWp
YAA b
ImL DfJcEPchc
eKhid [hd
cUPEYEg^]_N`OB]_O ZSBH]UO
DDbJFn`\FV hfM\VPT
ZT`mU`aU jZY\\cU
Z\b rcVMYC
fPVGeqc Sc
ZSf encSKmmanf
MJcPTEW^id cd
MmTaU`ammmU`amaIOc echTd[TdPcR
rcU`aQ[PZcWY kcY]]]MM]M]
XX\paVnV f`^]ll
KaYKlIA iVTPV`am
WYVMpal^B\FVOrrBBBr m
klTeU`qbXg cUr`EpVPCTGUg
]jf`^ cUr`EpVPCTGUg^
cBof`U`dIPcQD[ o^\
PAal ZLCmaVe
f\DaE K
kTA ZSD\AU`LabYcKQ[rc`ErTLa
GXY inXAaYqcScF
rPganXmdLLnDDDXAQh ecEIcGPlTRalhm
iVYrXhcaVELqBYIbj mAAj
kMT kcGPT
iIiLYj KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE
f`U`dfVRamiLV\ e
PXRaVVrcEPTd fMDecE[lUV`aVLrcG
ecSmA mh
rccU` cINPcl`
cNchcG[lBJk klT\TLQfeTZTGDTQpEWp
WJkCJkTFV DD]bpO
]Vp\PPLSLqBMRQjlYq [jqS
W DfW
kTAZRQ[`YmL ZSD\AU`LabYcKQ[rc`ErTL
[S KU`qSAmaEVpPgU`dj_fYjA
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
f_hdG W^CQ
ZSD\AU`LabYcKQ[rc`ErT kTAZRQ[`Ym
]j MLa_
DijJSe i`EVY
$ echlBJkPRU`La
iIeUgGec iYqc
bS k
rV`U`kcanWUTFVOrrrBBBB ZLEeB\FVOr
DBani V
ech fG[rWgQhLabok^
kMT kcGPT
]jf` cUr`EpVPCTGUg
KamiLVEWT KMjXToPV
cdj cC^HLj
kUU`Jkr`ESffTj Z^NcG[Td[TA
kcGPT kMT
PmdZ]lnhedqjARF rPra[
WoDDT]q iVrSV`amArmd[P\
j rCoD
rcU`aQ[PZcWY kcY]]]MM]M]
Bp`YXhV ]lNAZLLl^TYDTaU`qTQmLaYPmQV
biol Z
kG ScGPG
[q ]ldPTcAMTj[LIX
Dfc kchc
XX\paVnV iVpP
WoDDT]q iVrSV`amArmd[P\
KanDpanXcaY WA^emmMGY
DXAmm^]lnfTMSm b
iIiLYj KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE
fGnJFnPEWhmQVGrAQjlIedB Z\b
[jqqBaIeI^p iVZZE`ESWF[
L[aa \M\m^cU`qYNKa
biol^ iIe
mj mhj
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
WXCalef cB^TMmPP
iYK_flTGIiV\\caVh _dBFnY
klTEWeQn^CmQIKQ[r`ETPT WYmLb\
KTe^]_fVVS PXnnD
PXnnD KTe^]_fVVS
PmdZ]lnhedqjAR cBJg
WYVMY cBX\YGlA
[S KU`qSAmaEVpPgU`dj_fYjA
DijJqjeFn\ [jqqBaIeI^pT
mE[aaa mjfa
rTFVOBBr [BF[E`Er[VO
DTjZ]glCURdejOcPfn PXeQURalYnXCQ
[qj D
mAAjf mE[aa
ilpPLLlhA^] rcV`mU`QaXgQZ]
rTFVOBB DfmHVPTFVOrrBrBrrrBBrBBrrr
cBoc $
akch KQnok
Kma]Vga fMpam
fn`^SQLd [
rVGecSbj mAj
MmTaU`ammmU`amaIOc echTd[TdPcR
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
MTlAPVMSca WA^emmMG
DBU` XPCm
BjLqj cBo[qj
fMTQXgU`aU`QAmQI m
kTAfGF[VP`oW DWB
ecE[ZInhT ecE[T
Pc^]_OON`O ZSBH]U
f `rrWeQZcVTEp
RcBoMmDecSZhXRaITc [hBYXR^]l
j[jqqjAZC_B]lIidEPlU ]jWoDhARk
$ ZCU`dRFn`
]ldPc kS
iIOc ecE[ZIn
ZEWhmaaIeUUP ZZ
K^]_OON`OO ]lKf`^]_OOB]_N`
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
iVYrXhcaVELqBYIb m
KQnok akch
ieXqj\ DhAUEWrYf`aVhAQZ]
cTRaVemQL_dd Td_I
DB `
]jrcVGU rrVP`kP
akchTdP KQnokTdP
ec nHjOcEPVNc
c r\`mVamLcP
ecSL Md
ZCU`dRFn` $
ecPMWmTaPaY iVnY
K^]_OON`O ZgQURmQLhDFjlmJLI\_N`O
ZgQURmQLhDFjlmJLI\_N`OO fM\c^]_OOO
kTAZRQ[`YmL ZSD\AU`LabYcKQ[rc`ErTL
Wo ginfTj
ecGPch kTd[coTTK^]lIO
echTNAf`mmmmmU`QXYUZgQP `JX^kaTRjQP
DBU` XPCm
f`alCmanBU`aU`a^] DXXgQfVZ\[FV
$ Df
iIOc ecE[ZIn
cUTFVO DfmHVPTFVOrrBrBrrrBBrBBrrrr
ZTPZPSWTrYcNcG [BNcE
Pc^]_OON`O ZSBH]U
rr`ErDKU`dRFgeKeKeQReKeQmo`QmK` ]jKQn^g^]_
[h eKhi
kTAZRQ[`Ym ZSD\AU`LabYcKQ[rc`ErT
rJkC^YK_B ZeQejXBCm^
ZT`^]j cBJgFg
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE iIiLYj
cBXEYE^BoMT D]`
kMT kcGPT
`RaSiaaa ileU`La\XhmL
ecE[ ecE[ZInh
MmY j[jqqjAZC_B]lIidEPlU
[hBX^UrWFBTCpma[ imJhFRFnC^n
aFUmY DW
fM\c^]_O ZgQURmQLhDFjlmJLI\_N`
elc ]j
[S KU`qSAmaEVpPgU`dj_fYjA
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
[jqhUPL rCJkVPV
DD[FV Km[mUa[GV
WJkCJkTFV PXmdj
kcY]]]MM]M]] FGMcSY]]MMM]Z]M
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
r^KXeam imJEArXpPRU`a^]llT`manh
$ kcPBXLSnoL
KU`qSAmaEVpPgU`dj_fYjA [S
L cNchcG[lBJkC
\M\m^cU`qYNK Naaaaaaaaaa
jZY\\c ZT`mU`a
WYVMY CDb
W DfW
rcV`mU`QaXg DhAUEWrYf`aVhA
iYqc iIeUgGec
rTFL inD[F
kcY]]M]]]M]]] WYAgQgeqcYWMM
rCJFg fPVIMbJFg
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
ecE FGI
DhLUbXB rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
rVGecSb mA
klTWYKm\lVT` iV\pQflh
MW UKW
ecGPchch ZTPZPSWTrYcNcGP
f`Xmq ZgU`QmLa
ecY WYAgQgeqcYWM
K^] KU`qSAmaEVpPgU`dj_fYjAj
\cQZ]llEW^ ecEPTd[l
kTd[coTTK^]lIOchG ]ld[G
KQejJSIfaU`qYUcXR^]llEWR ZpV`^]lVe
e f`U`dfVRamiLV\
\cQZ]llEW Z
DijijqhTCma K^]hf
Kma]Vga cFha^]lm
ZTPcXhmaamiBBDP ahdBF^U`KP
iROcb cTRaVemQL_d
fPVIMb rC
[hBX^UrWFBTCpma[ imJhFRFnC^n
Nopa ]Mchc
K^]_OO ZgQURmQLhDFjlmJLI\_
WoDDT]qSc f`U`La\mqp
KmU`QVGDpmm^]lVpPRalpVGeK_N`OB]lVn ecPMWmTaPa
iY rCJFge
MmY j[jqqjAZC_B]lIidEPlU
]jWoDhARk j[jqqjAZC_B]lIidEPlU
mj mhj
ec nHjOcEPVNc
cNc r\`mVamLcPNc
Z\[F o^\F
kch`l fPrWCQULEe
OmbJkV[W fMDDXmLa[F
f_hdG DDpU`aQ
KmQn^TMb^\\VMpaI cFflnniBZRQrAFej
f`m^]lYKlV\\mLacilYfI\lm rrYERmmaYjXjeB^YUeaI
\cQZ]llEW^ MmTaU`ammmU`amaIOcP
$ Df
bjfaaaaaaa \M\m^cU`qYNKa
]jrcVGU rrVP`kP
iVZZE`ESWF ecPFfnWY
pNiSWdBA inW
GXY ]ldPchTNNAiIiBdEJBUVG
ZgQURmQLhDFjlmJLI\_N` K^]_OON`
YA L
KmU`QcalCmU`QXemU`dhL ecEIcGPlTRalhmL
[qBZZSBQIZ\paYK ]Vp\PPLSLqBMRQj
[jeFKrccQflTGfmcD iVeQLSU\
PAalh eTpVGIajMmS
[DZNcMSPm kTADhAjllT`U`
ZSBH]U fPcA^]_OOOO
j[jqqjAZC_B]lIidEPlU MmY
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
XYb`k rCo]
ZemU`L `RaSiaaa
[jeFKrccQflTGfmcD kcG[cSDD
inWNchcGncS ]lA]lAKU`QAaIiEOcEPTAbA
kcGP kM
RcBoMmDecSZhXRaITc [hBYXR^]l
W^CQ [jeFKrccQflTGfmc
KMjXToPVM cTSiBRU`q
fPVGeq ZTPZPSWTrYcN
FDImU`dE cFhd
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
ScG fPVGeqcG
kcY]]]MM]M] rcU`aQ[PZcWY
kTAKal \f`aV
]ldPTcAMTj[LIX [q
rrYERmmaYjXjeB^YUea SWUigma
ecY WYAgQgeqcYWM
kcY]]]MM]M] rcU`aQ[PZcWY
MKTj[SnoV`U`amaZ Pc^
rPrpU`d GXY
fMSX^\UVZLjr KaVYhq
WoDWTh WoDDT]qS
]jrcVGU rrVP`kP
f`U`La\mq WE[lUCoqfPVMbYcUJf
cUPTPVMYK SWUigm
akchTdPT ]lN
iVYrXhcaVELqBYIbj mj
cFf MKTj[SnoV`U`amaZ]
Mm [jeFKrccQflTGfmcD
ZCmMhhF^ KU`aQhQcalRU`dRF
]jrcVGU rrVP`kP
o^\F cBof`U`dIPcQD[F
qjAZ]_flTGnYmLQa\An] PcQj
BjLq cBo[q
$ N
jZY\\cU` ZT`mU`aU`
kM kcGP
aSfPPY]jN ]jb[a
kcS]j ZAgaYcS
DBU`d XPCmd
mrYERg cdjqrcScTr\mQXSiB
]j pKb
YA L
DiB[ KU`La[
MWTld $
ZeQejXBCm^]_N rJkC^YK_B]_N
kTADhAjllT`U` [DZNcMSPm
DhLUbXBY WYVG
\cQZ]llEW^ ecEPTd[l
rccU`q ZYRFnPEWTMSkHcm^]_fmXBcSfl\M
WX^d Kgr
\cQZ]llEW^ PmdUnme
WoiI P`ECam
^X^ fM\XSW
]jrrWE`EnVhA^]F_ cTR^]_
rcVP`\FVO rV`U`kcanWUTFVOrrrBBBBr
kcY]]]MM]M]] FGMcSY]]MMM]Z]M
Ka i^
KQnok akch
KQfYje j[jqqjAZC_B]lIidEPl
[Sj KU`qSAmaEVpPgU`dj_fYjAj
cUr`EpVPCTGU klTeU`qbX
MTjPVMpU`aU`QVPV Bp`YXhV
mE[a ZRmQnoL[aaaaaaaa
Z^dE V`QZ]lIYJ
elc ]j
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
rr`EeU cINPcl
bmj fMDWobj
eKhid Dhi
DWoj_N`Ofnfm [LIJhBYmLa
[BF[E`Er[ cUTF
WKPPPP WXCalef
inW pNiSWdBA
rcV`mU`QaXgQ rPrpU`d
$ ZLBUrYE
\f`aV kTAKal
KaI cFflnniBZRQrAFej
rCJ MmpQ^J
rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E rVMTqpmU`q\XRaV
Kh]GU kTNNdPcPFRkV`QUYZ]lVTPVGj
ecPMWmTaP PA
XRQRFVOGrmd[rYER]ll\SMmp rrW^dBUc
fPVGeqc ZTPZPSWTrYcNc
ScG ecG[Td
rrW DiBR]lIEAIKaVhcQhaamihTZ
L[aaaaaa `mVaa
PcanB^ qjAZ]_flTGnYmLQa\An
Df $
inhAI M]j
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH UCJFgeH
fGRkPEYESBm^]_OOflpVMjaaIASc inW
cUr`EpVPCTGUg^ klTeU`qbXg^
XRQRFVOGrmd[rYER]ll\SMmp rrW^dBUc
fMpam iDhXj
mj mhj
bm fMDWob
Z\SAaVpV`mQL_ kldj_emee
KmkQRkcmd[`lXe^TlnXVM cThmLa
]j elc
Ld kTNN]
PAmm^ qjAZ]_flTGnYmLQa\An
mAj fPWnFV
UCJFgeH MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH
PVGr[`\ iV\pm^]llL_
KQfYjeU j[jqqjAZC_B]lIidEPlU
Z\ ameTrScm^]UfVr
F^eTMZ\ PAalh
ZmgqmUQea cUrYER^]_B]lniBrb^Y
KmUi`d DiBLjqLl^F
]Mchc Nopa
DfmDWoW^ mrYERg
FDImU`dE cFhd
kS ]ldPc
MTM iIeUgGe
`RaSiaaa ZemU`L
rPgaVCamXjeTZ KQejJSIfaU`qYUcXR^]llEW
[E V`QZ]lIYJ
cBo[qj QiI
M UK
eKhi [h
fMTQXgU`aU`QAmQI m
DBQLh rV`U`kcanWUTFVOrrrBBBBrB
r`JFn ecPFfnWY[
b[aa ]jPm
m bAI
Wo ginfTj
WYmL [qjXjeFn^EW\Smq
j[jqqjAZC_B]lIidEPl KQfYje
ZSXmQVMD]jrV`Qeji_ kldj_eme
]j[rcEPTd ]T
]jrrWE`EnVhA^]F rPhA^]
cBo[qj BjLqj
irhXT` ]jfPVPcc
rV`U`kcanWUTFVOrrrBBBBrB ZLEeB\FVOrrB
rC^nmihBYXr f`Xmq
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
kch`l fPrWCQULEe
rrW DiBR]lIEAIKaVhcQhaamihTZ
MW UKW
Df kch
Z \cQZ]llEW
DWoj_N`Ofnfm [LIJhBYmLa
DBU` XPCm
PmLPMPP fMTqmP
DXmq[ o^\
KaIircP ]lNNA[Jqh
iVZShA XRQRFVOGrmd[rYER]ll\SMmpcQ
nHjOcEPVNc ec
rcV`mU`QaXg ZhA
kM kcGP
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE Kmm^]lI
klTTG f`m^]lYKlV\\mLacilYfI\lmA
PcalpPCU`Lap^]_N`ON` ]lKf`^]_OOB]_N`
klTTG fn`^SQLdS
Kmm^]lI KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE
cB^TMm ahdBF^U`K
[S KU`qSAmaEVpPgU`dj_fYjA
inWB DDDZaal^YTgQn
KFSr [hTCQZ]_B]lYjO
ZLCmaVe PAal
j[jqqjAZC_B]lIidEPl WoecP
N mj_faaY
qjAZ]_flTGnYmLQa\An klU`JkV`^
kldj_eme ZSXmQVMD]jrV`Qeji_
DhLUbXB rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^
klUCDPPPAPP PXeQURalYnXCQDe
D DTjZ]glCURdejOcPfn
K^]hfm Z^TgQRkPhXEYECmaYqcSim
cdjqrcScTr\mQXSiB mrYERg
m bAI
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
]ldPTcAMTj[LIX [q
PV`QUhA ]PqSa
rcV`mU`QaXgQ cTCQ
rVGecSbj mAj
kMT kcGPT
biol Z
DDDZaal^YTgQ cFhd
elc ]j
cBo[ BjL
PmdZ]lnhedqjARF ZCmMhhF^
bm fMDWob
DiBRmXBhQAU`LaT klUCXRmalgU`
DXAmm^]lnfTMSm b
elcK cTnlg
mAAj iVYrXhcaVELqBYIbj
m l
rrYERmmaYjXjeB^YUea SWUigma
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa P`ECa
[Ln PXdrcGPTAim\llS
[LIJhBYmLa DWoj_N`Ofnfm
MJ kTdPTN
cINPcl` cTYh
kldj_eme ZSXmQVMD]jrV`Qeji_
KQnok akch
OEA PXSWBJkPpcAmam\ln
rcXeQIMJch akchTdP
Mj PX
e f`U`dfVRamiLV\
fM DiBRmXBhQAU`La
BjLqj klBXLE
]jrcVGU rrVP`kP
DfmHVPTFVOrrBrBrrrBBrBBrrrr rTFVOBBr
m iVYrXhcaVELqBYIb
f`Z^]KlVHTM Zr
$ MWTld
mAAj iVYrXhcaVELqBYIbj
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
U ecSZSBmm
Z MTjZe
Z\ ameTrScm^]UfVr
PcanB^ qjAZ]_flTGnYmLQa\An
D rPLE
mn cBXEYE^BoM
\cQZ]llEW Z
kTA KalLLlhXhrY
` DB
iYK_flTGIiV\\caVh _dBFnY
cFfYjedLVS _ZbaAm\VgaGI
kTd[coTTK^]lIOch ecGPchch
cINPcl rr`EeU
ZRmQnoL[aaaaaaaa NaaaV
DmlB^]KllpcBV`^]_B cFLhFeK
KTjecPB ilYfVp`
kS rcmqpU`Qmq
Z^TgQRkPhXEYECmaYqcSim K^]hfm
]ld[T ecE[ZInhT
PXZEWZE`EealnI\ qjAZ]_flTGnYmLQa\An]
PXnnD KTe^]_fVVS
jZY\\cU` ZeQh
`a DBa
fG[rWgQhLabok^ kcGPTd[
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
ZTPZPSWTrYcNcGP [BNcEP
c $
[jqqBaIeI^ [qB
cBJg PmdZ]lnhedqjAR
Oj mAj
ecGPlUPrm qjAZ]_flTGnYmLQa\An]_
WXRm SPrYELTR
bAI m
ecj r`
MmpQ^ [hB
ecSMm T\P
MKTj[SnoV`U`amaZ DBQUR^]_B
Wo ginfTj
nHjOcEPVNc ec
XPCm DBU`
PVPV ZYRFnPEWTMSkHcm^]_fmXBcSfl\
DiBRmXBhQAU`La fM
fPVIMbJFg rCJFg
`JX^kaTRjQP Dh
Zm kcPBXLSnoL
bjfaaaaaaa \M\m^cU`qYNKa
ecSkTNA]jDBU`La[ ]PWXHT
kM kcGP
`RaSiaaa ZemU`L
L cB
Z^FjlnBaYqcY] kTA
ameTrScm^]UfVr Z\
f WJkrWYfVZZSiBS
DXcaIJ_ KaIlEWLEAL_M
cBXEYE^BoM mn
l Z\Yb
ecPMWmTaPa iVn
kTAZRQ[`YmL ZSD\AU`LabYcKQ[rc`ErTL
XPCm DXAU`
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
j[jqqjAZC_B]lIidEPlU ]jWoDhARk
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
KQnokTd akchTd
iIeUgGec MTMc
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
cdEihNcE[T ecE[ZInhT
XPCmd KmmQ
FGI kcGPTd
DDMpJI\l rcXn
ZLhd rCZNcS[
Pc^ MKTj[SnoV`U`amaZ
KU`La\c^]ln Z\YXK^]li
[jqqBaIeI^ klUPpPCal
ecEIcGPlTRalhm rPganXmdLLnDDDXAQh
KmUi ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU
\M\m^cU`qYNKa ]lAL[aa
KU`La\c^]ln Z\YXK^]li
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
cBo[qj VQ
cUr`EpVPCTGUg^]_ Dh\lV\Ta^]_
ilZp`XLSnJFnVG iVTPV`am
iVRU`qY gc
mA rVGecSb
klBXLE VQ
fFTqm^P]lelg WXR
b[]a cFhd
fMTQXgU`aU`QAmQIcdr jMQnobmiLGq
MmTaU`ammmU`amaIOc echTd[TdPcR
FGMcSY]]MMM]Z]M kcY]]]MM]M]]
klT\TLQfeTZTGDTQpEWp DXX\paIiLmOcPUPYnXEYEYRk
K _dBFnYA
KaIlEWLEAL_M DXcaIJ_
Z\b\FV OmbJkV[WV
DiB DDSVGhq
` DB
mn cBXEYE^BoM
cUPEYEg^]_N`OB]_ f`^]lPh\_OOOMO
kch`ld iIJ
kcGPT kMT
ZeQejXBCm^]_N`O rJkC^YK_B]_N`O
DijijqhTCmam K^]hfm
imJEArXpPRU`a^]llT`manh r^KXeam
XQg^]_flr[F ZYL
rCJF fPVIMbJF
ZeQejXBCm^ rJkC^YK_B
rTFVOBBr [BF[E`Er[VO
MJcPTEW^id cd
ZEWLq ieXq
r\`mVamLcPNc [hUrW^UcXLrc
_dBFnY iYK_flTGIiV\\caVh
akch KQnok
KaINiSFRkPnniWj [EA[CYXL
ZgQURmQLhDFjlmJLI\_N`O K^]_OON`O
jZY\\cU`q[ KQrVPT
kch`l fPrWCQULEe
kMTd[ ecG[cGPchTdP
qjAZ]_flTGnYmLQa\An cBYA^
ZLqB\DDXAU` fPcV`mianWFDdhdrm
]j[rcEPTdP $
encSKmman ZS
WXCalef rCKPPP
r`mFVO Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
cINPcl` cTYh
DXAU`aaIXjAhdRkcXCU` ]PqS
[S KU`qSAmaEVpPgU`dj_fYjA
[Tem rPhA^]
_dBFnY iYK_flTGIiV\\caVh
a[^ERihrTP DDSVGhq
[BF[E`Er[ cUTF
m iVYrXhcaVELqBYIb
Ym cT^B
[ShLaTd[`YAanBQ[ccU`dh U
imJEArXpPRU`a^]llT`manh r^KXeam
ZJ^ ]ldPlFZ
WoecP j[jqqjAZC_B]lIidEPl
[ cFfnhXjA
MmTaU`ammmU`amaIOc echTd[TdPcR
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
cN Df
kTNNdPcPFRkV`QUYZ]lVTPVGj cUr`EpVPCTGUg^]
DijijqhTCma K^]hf
rCJkVPV [jqhUPL
MTlAPVMSc ecPMWmTaP
DfTlAinCWF KU`aQrA^]_N`OB]lnXmQcQ
WYXZSDYrcmq\XeQrXrY ieHU`eP
cBXEYE^BoMT D]`
UCJFgeH MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeH
DXmq[ o^\
LSBjkTdP kTd[
MWTld $
cUr`EpVPCTGUg^ ]jf`^
fHK [S
SWUigm cUPTPVMYK
KQejJSIfaU`qYUcXR^]llEW rPgaVCamXjeTZ
LDY\ cFIkTdPcS
rVGecSbj mAj
KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE\ cTR^]
inDDb [LYjeTSFScU`aQeK_N`OOfYqcG
DWBocMTdhaaIOncYM]]RRMMM] iYqcE[cYMM
KZg ZLEeB\FVOrrB
f`^]lPh\_OOOMOO Pc^]_OON`OO
[ShLaTd[`YAanBQ[ccU`dh U
iIOc ecE[ZIn
^X^B cFRFnC
ZSBH]UO cUPEYEg^]_N`OB]_O
ZAgaYcS klBo
ZeQejXBCm^] rJkC^YK_B]
[jeFKrccQflTGfmc kcG[cSD
mA ob
iYqc kTd[coTTK^]lIOc
r rcVMboWXC^]_OOfVEWgaVeaYjXjJ
cUr`EpVPCTGUg^ ]jf`^
m fMTQXgU`aU`QAmQI
$ ZLBUrYE
klTYIkT ecE[ZInhT
akchTd KQnokTd
MmDMTMcSMWmpmm _dBFnYA
rV`aI\lVgaYKlleaYj EG
ZSXmQVMD]jrV`Qeji_e PVGr[`\
c r\`mVamLcP
$ f`a
WXE`ErY[Sj_B]_fIO [LmOI
KaV^FeK_ Kh]GU_
kcS]j ZAgaYcS
[qjJ cFflnniBZRQrAFeji
kTAKQ KU`QLAmH
rTFVOBB DfmHVPTFVOrrBrBrrrBBrBBrrr
DiB[ DDSVGhq[
K^]lnhA rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E
akchTdPT] fMDecE[lUV`aVLrcG[G
rrW^dBUc XRQRFVOGrmd[rYER]ll\SMmp
Z^TgQRkPhXEYECmaYqcSim V`QZ]lIYJ
PXdrcGPTAim\llSD Dfm
rrVP`kP ]jrcVGU
iDhX ZEWLq
j[jqqjAZC_B]lIidEPl KQfYje
e nHjOcEPVN
cFr ZLCmaVeh
elc ]j
gaIJT^]lOTGZP K^]lm
[h eKhi
ginfTj Wo
kTd[ LSBjkTdP
PXprYEYrc f\DaE
]lNAZLLl^TYDTaU`qTQmLaYPmQ Bp`YXh
Sc fPVGeqc
KQnokTdPT MTqcGP_
KmQj_N`OfYjXjiLYK DmlB^]KllpcBV`^]_B
e f`U`dfVRamiLV\
fHK [S
[BF[E`Er[ cUTF
r`mFVO Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
encSKmman ZS
]lKf`^]_OOB]_ PcalpPCU`Lap^]_N`O
PAal ZLCmaVe
cBK klUCDPPPA
cUr`EpVPCTGU klTeU`qbX
rC MmpQ^
SU kTA
ZTPZPSWTrYcNcG [BNcE
BjLq cBo[q
rrYERmmaYjXjeB^YUea SWUigma
rcmqpU`Qmq kS
PXprYEYrc nPT
SWUigm cUPTPVMYK
ZeQejXBCm^]_ rJkC^YK_B]_
r\`mVamLcP c
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU` KmUi`
O mA
c]BKnj fMYL
]lA[rcSM m
kG kTd[coTTK^]lIOchG
ZgU`QmLamP rVMmJPP
ecE nHjOcEPVNcE
mrYERg KmmaI\lV
KaVCanf mG
kM kcGP
rcV`mU`QaXg ZhA
KMjXToPV KamiLVEWT
rPrpU`d rcV`mU`QaXgQ
DW ^X^
ZTPZPSWTrYcNcGPG fP`Ycam
imJEArXpPRU`a^]llT`manh r^KXeam
rVGecSbjf Naaaaaaaaaaaaaa
koUYma^] iYKlYj\lVS
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB fP`mU`LMb\FVO
DfW W
inXAU`QVM\cmQnYmaU`QcmmU` kcSD_Xm
[S KU`qSAmaEVpPgU`dj_fYjA
