29255
_jm^i^ _`
_SkT^YKbNfO O
fjRYPXS_ bP`OGaYES]
nZZQZQO[K[fQZ nbHlZ
dJ_lULlUXfOS _iK[lTFUcfOS
ULgYPZYn UaYLgYHZjFZ
U EOP
^TiM UELOHbqOG
_i^ $
RTfN [
_jm^j `T
ULPY jiK[SlGXY
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
g UE_FFc
bP[GNfO^RT RGT
bPJFqS`TmKeU Uob
[Ff [L]
OUE_Ca Ua
n`OERFULTTDfOYZobPZFSZC U
$ _TP
Vj] [F
bP`OSUXoOXlnUSJ bP`
Ym`[OcUcfOLlU _TP[XU
V] jFN
RP nbaYbjjqOLlUlTTDUGO\f
RTfN\ G
bPJF[GPXSS XPQXYPol
_TPJFj nqSIIIIIII`Tr^
[hXXXXXXX OefO^[hXXXXXXXXXXXX
n`OEjOEM]OEXTBU OoPbYZdHaYHOKiQZo[SfO
ISP UP
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
pnqi^ _TPqSI`Tr
[SNp OoPqTPbKNWfNf
U dUaYbEO
T [F
n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS _TP`OllfOSfOllfOXfOS
ELnSg _jo`Tm^TPbPZ
nJ pnqi^KJ
bPqjo`T bPU
[ $
UN RLH
V] jFN
[SpFSUE_]NUEN [S^__BUNUnNN
$ nb
_S`Tr^jr^iK _K
Vb O^V
_SkT^YKbNfO O
_TP`OllfOSfOllfOXfOSU ^E[O
n[SfOSfOYO[[KKK[ nq`S_jr`TmKZOK
V Vj
V] $
R kY
ne^_TP[ dn
SKN VfNfUYdHN
[Sp ^
nJFJFJ UaY
nbE nLFUFbbh^GE
F UHZobLnYLgY
b nJ
_TP O
$ O
a _jm^i^i^TP
nZZQZQO[K[fQZ bPqS`Tm^i^joI`To`TmKJGFZOKf
VfNfb Po
neoPZO bPqS`Tm^i^joI`To`TmKJGFZOK
O^O _omToTmK
Ym`[OcUcfOLlU _TP[XU
Vj]j_ [F]]j____
bPqj _^Sb`T
_SI`TrK b
nXUSUSUEMQNOEOrJ OoP[LTTDfOLT
`bhXUJfWO bP`OLlfOlTTDfOEXFU
dJ_lULlUXf _TP`OEMQ
OU bI
VfNW ZT
n`OERFULTTDfOYZobPZFSZC U
Z_j nqj
Vf\fn Vfn
n`OERFULTTDfOYZobPZFSZC U
_i^SI`TmK`OLl nZZIo[ll
bPee\ SU
b nJ
V Vj
bP`OS nZZIo[llUS
O^ A
b` Oo
nJ b
bP`OXfOcUJT\TT\TFUXfOEX hUPZFLrh_RYPZRYbhJ
pnqi^ _TPqSI`Tr
bPJH`OSfOL _TP`OJTDULT_lfOL
b RT
_ipOG _TP`OcUSUGO
r O^R
_TP[XUJT Ym`[OcUcfOLlUJT
b $
^UHOT nJFJFZO[Kf
_SkT^YKbNfO O
c O^
bP[SfOcfOEjOJ_TFfOlT bP[J_lfOBSfOLlUXfOSfOL
FPqSIIa`TmKJFKbjhUqSfOSUGaY [Ff
_TP bB_
RLH UN
O^[ _TPqjoII`To`TrKe
ULnY $
R RTfN\
nZZjFb OUE_C
dJ_lULlUXf _iK[lTFUcf
bPJFq^ _jm^TPJFeUpo
_TP`OJTDULT_lf bPJH`OSf
VfNfUYdHN SKN
[hXXXXXXXE bPJFbbqOE
bPJFbbqOE Th
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
_TP`OJTDULT_lfO bPJH`OSfO
UE_ OUE_
VfNfUYdH SK
RT_ Vj___
n`OGN iM
$ _iKbaYP]CE
nJFeef_TP XnR
U nqi^[Pcb
_SI`Tm^ _Ji^i^B
[Sp[ [SUEN_SYp
nJFJFqi^jo` _po`T
dJ_lULlUXfO _iK[lTFUcfO
[hXX [hXXXXXXXXXXXXXXXXXXXXX
$ _i^
IUY_Zdcerh UE
$ _in
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO nZO
n[GPXS UEOcJAOHEOXS
bPq _`
T O^
OoPqjr^T Wo
[hXXXXXXXS [hXXXXXXXXXXXXXXXXXXXXXXXX
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
RT _\KbOfRT
bPqTPJFqjrKJF`OSUS nJF[lldRSUSULl
_ UHZoZZQZj
bPqS`ToaTrKb U
hUPZFLrh_RYPZRYbhJF bP[XfOcfOXfOEjOJF
n[SfOll bP[_lfOll
bPqTP bLqjrK
QUbjqOcUSUflTfT\ bP`OYZo`OSULT_
_i^SIII`ToII`ToIII`Tm^TPJFbPZFL nbELXhLOA
_^Sb`T bPqj
F nJFb
OoP`OLTT\lfOJFU dJ_lULlUXfO
_Ji^i^B _jr^
nqjm^jr^TP[SfOGPZYnnnn OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnnnnnnn
_SI _jSa`ToII
_jo`Tm^SII _^eQ^S
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
[S__ [SUE_]U_
bP[LlUllfOcfOc n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll
[hXXXXXXXXXXXXXXXXXXXXXXXXXXX [hXXXXXXXSXXX
R $
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
bPJFJF nqqKeUDP
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
bPqj _^Sb`T
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
_jm^j _aS`To`T
UP]CLnYLgYbqOLTTDUcUJTDULlf bP`OcUDGbq
UbjhYZjFq _`
_aS`To`Tm O^_i
VQj_rr__ _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_______
Ubjh nJF[lldRSUSU
UPXSFHESZFS]CN iM
_SIII`TII`Tr _jm
RT _\KbOfRT
n[CT_lUSU V]fYH
OoPJ ULnYcZj
_TP`OEMQ dJ_lULlUXf
IVnJn [F]fY
Vj_____________ ed]]DWB
aIO bPJF
nbbjqOXUJFfOSULlfOYO bPZOiO
b nJ
Z_jr nqjr
nbN\fn Sgfh
U bPqS`ToaTrKb
E UaYHZoZ
_BTP UYdH
UHZoZZQ UY_ZdHdOfUH
_gSHg`ToZ bPqTPbN
UE_ OUE_
UPZRS V]daj__
O^_T Po
bPqjo`T bPU
_TPbNU ^SUlJ
bPbLg FPqSIIa`TmKJFKbjhUqSfOSUGa
[SUENN_B_BUY T
nZZjUF[J n[LT
_SIII`TII`T _j
b _SI`TrK
$ UYdHYdcArh
n`OEjOEM]OEXTB bP`OLlfOLTTDULlUllUX
bPJH`OSfOLl _TP`OJTDULT_lfOLl
_TP`OJTDULT_lfO bPJH`OSfO
RT_______ [Fj
b`P OoP
_i^j jbmSD`T
_jmg bPZZjFZOfoqTP
n`OXUS [S_YoEh_]__
UE_CP bPbaY
OeUU OoPbEHN
_jm _SI`Tm^jYo`Tr^TPqS`Tr
UYdAMcAVVOc UYdc
bPJeFbMZZ`Z ULHYY_Z
joI`T^PJ _TPJ
UE_CELrhSZFJVVOcAOcIVOH[ nb
O^R r
_TP[XUJT Ym`[OcUcfOLlUJT
_jmg bPZZjFZOfoqTP
_TP[XfOYO[[fjFqiK A
bPbq h
ZT n`OGN\
Ym`[OcUcfOLlUJTB _TP[XUJTB
baPJFqjm^jo`ToIM`TpII`TrKJFbPZYn ULHYPZCaYPZF_Y
O $
_SkT^YKbNfO^ O^
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
[SpFh OefO^[hXXXXXXX
bP`OXU ]UbhJ\FU
nLFUFbbh^G _TPbbjqOllfOG
[S^__BUNUnN [SpFSUE_]NUE
E bPZ
UYdAMcAVVO UYd
_S`TrK[LlfO _j^TP`O
_jrnK`OllULTFf _joIII`Tr^TPJF`OlTT\lfOcfOSfOcfOG
_jmKJFbE_F UEOcJAOHEOXS
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _jo`
U bPqS`ToaTrKb
U bPqS`ToaTrKb
Ua OUE_Ca
_iKqTPqS`Tm^iKZOKiobaYEF__H ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG
nbbqOYOio ]ngZjOE
nJFbO dR
^S` _TP`OcUSUGO\
_jmg bPZZjFZOfoqTP
`bhXUJfWOG UbhG
nZ UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ
_NID _i^S`TmKqS`TrKqi^joI`
ZT] UaYPZRYNfV
RT_____ Vj_______
nJFbES]C $
_S _^eQ^S
nqjr^ Z_jr^
UbhULlUXfHOX n`OXUJ_lfOXf
V_SVTrK`O`J_lO UPXSFHPXYbqOGPXYYZ__dHY_d_____HbhEjOXULlUXULlUJTBfOEjO
EOP U
bP[_lfO n[SfO
UbhJFfOXUllfOSUEMQOLlfOGHZ nZO
nbY bPJeFbMZZ`Z
UY_ZdHdOfUHZ UHZoZZQZ
n[S bP[_l
RP[ bP`OXfOSfO
_\KbOfRT RT
bPqS`ToaTrKbO UO
O^ `E
n[CT_lUS nbbjhS
nqj Z_j
bPZOiOf UHZoZZQZ
UPZCbhlT_lfOYL _iK[SfOcUL
Oo bPqiMjr^jr^jm^i^T
bPJFJZFZZj bPJFJ
_S`Tr^jr^i _
[i^`jr nqi^jrKJF
_i^iKJFJFJF[GaYEL UYe]RSL
UnES] UYdcArhS]
UOfn $
_SIII`TII`Tr _jr
[SUENN_B_BUYF _[Ti_
V]] T]
IVnJ bPeeWf
[SNp l
RT] [U
nqiKbNfV kYT
bP[_lfOl bP`OJFfOEjOcUEX_
UP]CLnYLgYbqOLTTDUcUJTDULlfO _TPeH
nZZIo[ll _i^SI`TmK`OLl
_TPbbjqOllfO nLFUFbbh^
_jo`Tm^SII _SqI`Tr^mjo
ULPYbjhEjOJTDUGYdcAO nUPZJdL
UYdHaY Tf
nJFqOP _TPJF
OP $
bP[llfOLT_T_lUlT_lUEXFfOllUJ_T_lUSfOcfOEjOcUJ_TFfOE _TP`cUY
OoP`OXUYO bPZOiO
hUPZFLrh_RYPZRYbhJ bP[XfOcfOXfOEjOJ
_S`To`Tm^TPbaYE_RYaYaYEF_c $
bPbY_d__cAOHoQ nJFb
ULPL n[llUXUG
UPZCbhlT_lfOY _iK[SfOcU
Ua MhMa
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
bPqiMjr^jr^jm^i^T Oo
RT_ _SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j___
nqjm^jr^TP[SfOGPZ IUY_Zdcerh_
ULHYN\f nbHYa
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
RT] Vo_
bP[_lf n[Sf
nJFbHOlj nJ
UHZjFe bP
bPJFqS`TmKeU Uob
bP`OXfOSfOE RP[E
Ug n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]Ca
E $
ULPYE_ fjRYPXS_
bPJFqjmKZO nBoP
E $
U MhM
[SpFhX OefO^[hXXXXXXXX
$ _TPJF[EMQ
ULPYELVVO_ bPLOllGfUEL\hF
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
bPJFJ XbP
_iK[lTFUcfO dJ_lULlUXfO
n`O p_TPdh`OSU
n`OGNU UV
_ld Oo
_TP`OcUSUGO _ipOG
P bPJF[GPXSS
neo gb
bPDO bP`OJT\lUSUXU
UaYEFc UYdAMcAVVOc
_S` _SqI`Tr^mjo`
bb n`OGaYbj
bP`OfOGYOm U
gdYPXYO nJFe
$ _jr^jrK
_SI`Tm^T bPJFq^
n`OXUJ_lfOXf UbhULlUXfHOX
_PajWA UPXSSZC
bPbaY] UE_CP]
T V]
_SI`TrKZ UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQ
_SI`To`To` _i^SW
bPJH`OSfOLlfO _TP`OJTDULT_lfOLlfO
`bhXUJfWOGL bP`OLlfOlTTDfOEXFUGL
RTfnHT O
V]daj__ UE
V] jFN
_SIII`TII`Tr _jr
_S`Tr^jr^SII`Tr^ rj
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j______ RT____
n[llUXUG jiK[SlGXY
Vj_______ Vj]j
[SN [SNUE_]_p
_T Wo
UbhULlUXfHOX n`OXUJ_lfOXf
nqiKXUJTB]OGNUk ULnYLHYbjjhJ_TTBUGO
nbELXhLOArh nJFe^UaYaYE
[hXXXXXXXXXXXXXXXXXXXXX [hXX
bPbLP OUE_Ca
Un bPb
_jm^i^i^TPe OUV
kqT` OoP[G
n`OGN ^K
Ym`[OcUcfOLlUJTB bP`OLlfOEjOS
O^ OTP
bP`OLlfOLTTDULlUllUX P`bLlfHXYfOJ_Pl
X $
PbrN\h] UbhEXTBU
U bPqS`ToaTrKb
_i^SIII`ToII`ToIII`Tm^TPJFbPZFLr nbELXhLOAr
bP[_lf n[Sf
_BTPa UYdHa
`OLlfO _S`Tr^SII`To`TmK`OcU
UYd UYdAMcAVVO
nqjmK[EjOlTTDfOcfOJ_l n`OJFfO
VfNfBnUP] UYdcArhS]
bP[_lfOll _i^TPJF`OS
_i^j _SI`Tm^jYo`Tr^TPqS`Tr^j
Z_jr nqjr
nZO UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO
bPJF bP]W
bPqjrKeoP[SfOlTF P[J_lUrfOcfOfOEXB
n[LT nZZjUF[J
ULnYcZj _jr^jrKJ
OoPqjr^T Lb
UYZ_Zd P]FF
OUp \ia
n[CT_l nJFqTP[XUJF
n`OGbqOJFfOEjOXfOJFfOXUllUc H\K[X
n[GP UEOcJAOHEO
_C O^b
S[Sp [S_NU
UE_ OUE_
UP ISP
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGPXY bPb
O^ T
nSb [SNUE
ULgYFcAO ULPYaYaYLPYP]CLHYY_Zd__
bPJF _jmg
n bPO
_iKqi^TPJFOT RT]]
bPqi^i^ rj
bPZZjF`OllUGP ULnYOf
nbo OoPZZQOijFJFbLnYaY
O^ _SkT^YKbNfO^
]UbhJ\FUc n`OSUS
neo bPK
bF UYZZ_ZZZ_
R kY
_S`To`Tr^TPqTPqjmK[GbjqOXfOEMQOEjOLlUcUcUJFUG _BTP
UbhG mc
[SUE_]U_ [S__
_SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY nqiKbN
bPqiMjr^jr^jm^i^T Oo
mW n
_TP[XU Ym`[OcUcfOLlU
_i^SIII`ToII`ToIII`Tm^TPJFbPZFL nbELXhLOA
_TP[XU Ym`[OcUcfOLlU
UPXYaY mcLgY
nZOKKiQO[[KijFqTPZ p_TPdh`OSUYZQ
_SI`TrK nj
_jm^TP`O nXUSUSUEMQNOEOrJFfO
IUY_Zdcerh_Y UELVrhS]Ynn
RP[ bP`OXfOSfO
S[Sp [S_NU
$ l
]\`O O^
OUE UE
UYdAMcAVVO UYd
T]]] bP[GNfO^RT]]
_jr^S`Tm rji
M nJFZZo
bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc nZZjUF[JTB
nqjmK[EjOlTTDfOcfOJ_ `OL
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO nZO
$ b
UP]Yn ISP]Yn
_PajWA bPbaY
IUY_Zdcerh UE
b nJ
_SkT^YKbNfO^ O^
UaYS]F_ bPbES]
_gSHg`ToZ bPqTPbN
n`OXU UbJcaO
bP[cULlfOS hUPZFLrh_RYPZRYbhJF
bPbaY UE_CP
UnES bPbES
nJFJFJ _S`TrK[GaY
ULgYP]FSXZYnn bPbLnYLgYaYE_Y
$ OP
n`OGbqOJFfOEjOXfOJFfOXUllUc H\K[X
[SNp OoPqTPbKNWfNf
UbhlT nXUSUSUEMQNOEOrJ
n[GHOfjF`OJFUGH bPqiK[cUXUJFfOiOiQ
_i^S`To _jSa`ToI
$ _T
PoP _TPqjoII`To`TrK
OUE UE
_TP`OEMQO dJ_lULlUXfO
b_PbbqOJ_lfOEjOEXFfOEXF n`OXUX
_S`Tr o_jm
ULgYP]FSX nqjm^jr^TP[SfOGP
O $
_TP $
T O^
_S`To`Tm^TPbaYE_RYaYaYEF_c E][
iM n`OGN
UHZobLnYLgY F
RP[EM bP`OXfOSfOEM
Ok UHZjFe
U YJLjQ
`E O^
i _i^
_S`T^SITr _SII`Tr
RT]f $
n[llUXUG jiK[SlGXY
F_SKeP _SII`ToI`Tm
IS U
_SkT^YKbNfO^ O^
UaYbjqOJ bP[J_lfOBSfOLlUXfOSfOL
_SII_ _S`To
_TP`OJTDULT_lf bPJH`OSf
_iK[SfOlT_lfOLlUSUlT_l UbJcaOX
Ym`[OcUcfOLlUJ _TP[XUJ
_^eQ^S` _jo`Tm^SII`
UaYE_CP ULjPF
_eX _SIIIII`
[SNUE_]_p [SN
bP[_lfOll n[SfOll
neoP CP
bPbLHYHO FUHOE
n[cfOEMQOGaY UPZCr
OefO^[hXXXXXXXXXXXXXXX O
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
_TPJFjS _joI`To`ToII
[S^__BUNUnNN [SUE_AE
_jr^SI`TmKJF bPO
Ym`[OcUcfOLlUJT _TP[XUJT
_jmKqSII`T JnYjB
$ Oo
hUPZFLrh_RYPZRYbhJ bP[XfOcfOXfOEjOJ
P`bLlfHXYfOJ_P _iK`OGbhLT_
V UNS]
[S_UEUE [SUEUp_pp[UEUU
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
UEOcJAOHEOX n[GPX
AN[SUW_AE [Sp[NpFS_
bP $
bP[_lfOl n[SfOl
n[GP UEOcJAOHEO
[SUE_]U_ [S__
$ bPq
[F V]O
[Y[ [S_N_]
bPbaY UE_CP
^PZ UPXSFHPXYbqOGPXYYZ__dHY_d_____HbhEjOXULlUXULlUJTBfOEjO
PZRSSZRYY_Z ULPYY__
_TPb $
VfNfUYdHN SKN
bPqiMjr^jr^jm^i^T Oo
Z_j nqj
bP[_lfOl OoPJF`OlTTBfOL
V Nj
$ U
OoPqTPbKNWfNfF _i^jm
bP[GNfO^R RG
U IS
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
UEOcJAOHEOXS n[GPXS
_TP`OEMQ dJ_lULlUXf
jbOE bPq
nXUSUSUEMQNOEOrJ OoP[LTTDfOLT
bPqS`ToaTrKb U
bPqiKq OoPJYFqo
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
_SI`Tm^jYo`Tr^TPqS`Tr^j _i^j
[SUENN_B_BUY T
RTfn Sgfh
nbHYa ULH
_SI`Tm^jYo`Tr^TPqS`Tr _i
$ _TPb
bPJFbbq nLLlUJTDfOc^f
OoPJF`OlTTBfOL bP[_lfOl
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
RiT [F]
bPK UbjhYZjFqT
bPO n
XPQXYPol UELrhS
UbqOXUcUEM _S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW
UOfn $
O^ T
[ UYdHYZdHOU
nbbjjqOcfOcUEMQOJTBfOSUYZo`OllfOX n`OJFUSfOXUGLgYPLCNf_TP`OEjOGaYbhS
nqTP`OX P[J_lUrfOcfOfOEXB
_TPJ joI`T^PJ
O^ T
pDb _T
nq`S_jr`TmKZOK nJFZO
UP]Y ISP]Y
_S`Tr^jr^iK _K
FPqSIIa`TmKJFKbjhUqSfOSUG _TPb
KTPb UP]F_C
ULHYN\ KdRV
RG bP[GNfO^R
_joII`Tr^SI`T bPU
nJFbHOlj nJ
_jSa`ToI _S
IS U
RT _\KbOfRT
k O^_
bP`OJT\lUSUXU bPDO
Ubjq _jmKdLnYn
O^ T
bP[GPXSSZCPXSFHbqOSUSUlTFfO $
Y _jrKqjmK`OXUJFfOSULTFUXfOJFUJ_TFfOSfOXfOGNf
_iK KTP
V]fNf[FfY IVnJn
n`OGN iM
$ nb
[hXXXXXXXXXXXXXXXXXXXXX [SpFh
H\K[XU n`OGbqOJFfOEjOXfOJFfOXUllUcU
bPJH`OS _TP`OJTDULT_l
dJ_lULlUXfO OoP`OLTT\lfOJFU
[hXXXXXXX [Sp[pFhXX
bPJFJZFZ UHZoZZQ
SK VfNfUYdH
_iKqi^TPJFOT UP
[S^__BUNUnNN [SUENN_AE
iZ RTfNf
n`OXU brPgT
$ _
UHT nJFZ
`ng\N _jr^TP
_bP bP
PoP bPJFJFJF
nZZo[YO[ nq`S_jr`TmKZO
_SI`TrK b
`bhXUJfWOGLgYq bPbq
bPJH`OSf _TP`OJTDULT_lf
VjM_W_ [Fj_
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
$ E
_F _iKqS`To`T
_i^ nqqKeUDPq
n`OSU $
ULOnYESZYnO] UPZYnnnn
[S_NU S[Sp
bPJH`OSfOLlfO n[XULTFfOJ_TFfOSfOLlUcfOcU
$ bP
OeUU OoPbEHN
nbbqOYOio o_jmK
bP`OLlfOlTTDfOEXFUGL mcL
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
k _i^
_iKqS`To bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII
[ nJF
_S`TrK[LlfOXU JdV
bP[LlUGN\fN n[cfOJXfOLTTBUX
X $
nJFJFe nOT`\
_i^SWTr _jm^SI`Tr
_jo`ToI`TrKe Q
nqiKXUJTB]OGNUk RTfN
OUE_ UE_
l [SNp
UaYPN]CPXYLgYPZRYE_RYYdHLnYHZQO _SI`TrKZO
iTTP UaYbjqOJT
IUY_Zdcerh UE
bPMdJ[lTFfOQJFfOXfOSUXfOcUG _TPbE_CLPYLnYq
_iK[SfOcUL UPZCbhlT_lfOYL
Rf nbPZYn
bPLOllGfUEL\hF__ ULPYY__Zd
pnqi^KJ nJFJ
n[llfOLlUSfOEMQOSfOY nq`S_jr`TmKZ
bP bLqjrK
[hXXXXX [Sp[pFh
pnqi^KJ nJ
ULgYP]FSXZ UE_
nbLPYE_ $
_ _jr
n OMpV
nq Z_
bhb U
nqiKXUJTB]OGNUk ULnYLHYbjjhJ_TTBUGO
_TPJFl [FfNfbPqSI`Tm^iKqiK
bPbaY] UE_CP]
nZOfQOK FUHOE
SbPeqiKeef_jr^TP`OllUcUcUK Ubh
_iK _TP_mc
[SNpFSpFhXXXXX [hXXXXXXXSXXX
_SI`TrK`OLlU QO
UP]CLnYLgYbqOLTTDUcUJTDULl n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll
_SIII`TII`T _j
UE_Y ULgYP]FSXZY
OoP`OEXTBfOcUSfOGEF ULY
UE_ ULgYP]FSXZ
bPbLnYbjhL $
_TP[X Ym`[OcUcfOLl
[Sp\[N [SUEN_SYp
P nJF
_i^TP`OGN\f bPbllYJ
_b b
nbE nbELXhLOArh
neoP $
nqiKqjQ`^ _i^SII`To`Tm^iKqi^
bPGhf _TPbELVO__c
[h [hXXXXXXXXXXXXXXXXXXX
S[Sp [SUEUiPDoE_
[S_ [SUE_]U
n[Sf bP[_lf
^K bPqTPbN
$ _TP[cfOXfOlTTDU
OoPJ bPqiMjr^jr^jm^i^TPJ
UEOcJAOHEO n[GP
n[GHOfjF`OJFUG \U
VfNfUYdHN\ GQGB
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
UYe]RSL _i^iKJFJFJF[GaYEL
nJF` UbJca
_SII`To bPUoI
O $
nj _SI`TrK
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
UaYbdjhEOcUlTF^ nqTP`OSf
nZZIo[l _i^SI`TmK`OL
OoPbEHN OeUU
ne^_TP[ n[JFUEMQHOGLgYbjqO
bPZ nZZjUF[JTBUY
nJF[cfObjqOSMQOJFfOSU]SUXOEXT\X bP`OYZo`OSULT_T
[Sp[NpFS_ AN[SUW_AE
^TiM UNfU
_SIII`TII`Tr _jm
UPZCbhlT_lfOYL _iK[SfOcUL
nqiK[L bP[
_S`TrK[LlfOX _j^TP`OX
VfNfUYdHN\ OV
Tf bPZOKijFbYdHEFHLHY
n nIF
nP[Sl bP[LlUllfOcfOc
UOfn $
OMpV _i^TPJF
$ _TP
_SI`Tr^jo`TmKqjr F_SKeP
Ubhc Ym`[OcUcfOLlUJTB
bPZZjF[llUGY__dHNW ]
_iKqTPqS`Tm^iKZOKiobaYEF__HP ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OGP
nZZjUF[JTB n[LTTB
_SII`ToI`Tm F_SKeP
bPqiMjr^jr^jm^i^T Oo
b`P OoP
nJF[lldRSUSULl _joII`Tm^TP[LTTBUcfOllUJ_l
ULPYLHY _PajWA
[hXXXXXXXXXXXXXXXXXXXXXXX [hXXXX
Ym`[OcUcfOLlUJTB bP`OLlfOEjOS
n[LT nZZjUF[J
RT_ V]j_
UbJcaOX n`OXUX
OoPbYZdHaYHOKiQZo[S bPHOJ_lfOcUlGfOLlfOJT\lfOSa
[Fj j_
UYdcArh UnE
UE_ OUE_
bPee VfinHT
Oe\fN\ OrS
$ _jm^S`Tr^SI`TmKbaY
]bJFCe UbhEXTBU
_ _^eQ^
RT_____ [F]]j___
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
_\KbOfRT RT
UbhSU neO
UN ]_T
ULPY b
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
bP`OXfOSfOEM bP`
[SpFh OefO^[hXXXXXXX
OUE_CaY U
nJFqTP[XUJF n[CT_l
bPJFqjmKZO nBoP
nLLlUJTDfOc^f UP]CPXSSXYbhEMQOXfOXf
bP`OLlfOlTTDfOEXFUGL mcL
nJFb bPbY_d__cAOHoQ
UaYNfnZ bPZO[Kf
[SN__BUniAE [S^__BUNUnNN
UP] ISP]
UEFHPX OoPJF[LX]OcU^
UPZCbhlT_lfOY _iK[SfOcU
Ua OUE_Ca
kT _i^T
UELOcAO UYZ_p
U MhM
_joKTrK[XfOXfOS n[llUX
bP[_lfOl bP`OJTDfOEMQOXfOlT_
$ UbjhYZjFqT
[hXXXXXXXXXXXXXXXXXXXXXXXXX [hXXXXXXXSX
T] bP[GNfO^RT
_` bPq
bP`OllUcULT_lfOXUGa n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGPX
OU U
RT FVE
nqiK`OYO[fQO[f ^UHOT
[F] T
_SI`Tm^jYo`Tr^TPqS`Tr^ _jm^
OefO^[hXXXXXXXX [SpFhX
I O^
F]]qj RTj__
_SI`Tm^jYo`Tr^TPqS`Tr^ _i^
bPqiKqSII jm^Vi^SIH
_iK[SfOcUL UPZCbhlT_lfOYL
joI`T^ _T
FVE [F]
bPqS`ToaTrKb U
n[LTT nZZjUF[JT
_i^i^jmKbN UbhcUJT\l\OllfgGaYLYO
bPJeFbMZZ`Z nbY
U`HY nbES
J nJF`O
nbbjjqOcfOcUEMQOJTBfOSUYZo`OllfOXU UPZCbhlT_lfOYLTFU
O _SkT^YKbNfO
bPJH`OS _TP`OJTDULT_l
ST V
_joII`Tr^SI`T bPU
OoPqjr^TPJ _TPJFlJ
n[GP UEOcJAOHEO
nZZjUF[JT n[LTT
UOWf Vfi
_S`T^SITr _jm^SI`Tr
bPZZq _i^TPPh
VfNfBnUP UYdcArhS
nqjmK[EjOlTTDfOcfOJ_lf ^E[
_TP[cfOXfOlTTD m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTB
[SNUE_]_pp [SNp\
n[LTT nZZjUF[JT
iKZOib bP[XfOXfO
[SNpFSpFhXXXXXXX [SpFhXXXXXXXX
gT]c [F
_SII`To`To R]
_SIII`TII`T _j
iM UPXSFHESZFS]CN
