23703
OGfHUIGK GWkodKgK
OE _JQ_hWmf
OG Efmffb
GWBBMqMBHW rGKW\geBBH
OPjcK^ bO]SWK^K
F_FB GKWknh
SAEGddZB Sej
GKW\W GW\g\B\
OPNZXIS GKKWogWZfeJQhe
SV`YCMM Sb
XKW\SPmh[h[TQTBkaSBjjKZBj SAGWdW^QnnLpcSBjBjjKQjBj]CBj]C
DnRhQgqTr OEGjWeB
Seejp` OSpcI`QDeiV``Mh`
GWBZkaI[UM SkKH^B
GWH\Gd OZnEjkbKUH\
P SAn``aRXIOrm^cLE_qMnVNZB
GfKWPmhEZhEh[h[Eb GWkU
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb GKW\gf
OFKmGU OGBqmbfkaKaAW\g
SVMYcFqkA $
GWPmhAQTSHoqmibBqmiiQkAZaSBjjQjj GWHXmGnqCSjKKZjKZ]CBjOK
OGfHUIGKKW GWkodKgKKW
SjjTSfeJa^Y SAdDkKZjKmeqmbG
SkKRKIGKWBJQH OS
$ Odj^UBBRS\geXmGaaAWomWMA
WSk[` SV``Mh``
GWfR\gi GWf
rT^g Seb
Znmqp` OrmMOqkK
SjqMffYkkTgd^YIpmkFqmiiQ OdgGCaA
SAZUeBMBWHWHH MOEBBMXBH
Sekkk^ SkTSHommJiQWk
OGHaKKWHgq VSfqY
GW[Gk`[```MhMfGYWeXmDeO SV``M
SOn`QhAn`cKNj SAnX^caPLnLhK^^NF^b^Nj
GKKKqWfWEa SOKnnaPa
OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`Mqb SV`M
MOEBBMXBHHHW SAZUeBMBWHWHHHHW
Gjr GKKKKK
IAF OF
SVMhMn[MGfnVjKpH\djCgIkKP SAP
SkTgo SAEfnHZV``Mqbqj^aLdWo
SVMGYWGj`a^caA^ JbqOGY^
GKKWBKIO pO
SV`MYKdGdSnIWkaLpQaaAkOkSdKK GjrK
SjjW Sj
OGfHUIG GWkodKg
OEPmib GWDUkaNIcaK
OEkU\ G
GKKKKWGY^UeJaHKNF bO]SWK^K
SejdZU\B\BBqmiib ASqYCZIcgqcIOrIGKKKXPmQK^caAK
OVH^k`K GW
SAEGddZB Sej
qAZa OZnn
Sk Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj
R OnXH\dGndKKWom
GKWWWeqmibBXmMV`MYkV Sjp````
GKWHF OnXHUIGWfWeqQKHZbkGPmiQWHoKIGWH
GPmh[bBa[XT OFK
OPiRncIVcf`QHIGXH OSh
GWkmW GKWW
pO GKKWBKIO
Tkc^C_aAQhWb Seee
OSqdrISeebkZfn OSdKKWGqMKnpYC
SANZB OGB
GWB ZT
OEeJQMjq`MknW GWPmih[QWfH\Zn
OdgkUPmiihAihPUrjEibWH SArmN
SNTBomPmQV OdHn
SAZaI OSEjWPmXQ
SAZaS OrmeJMOn^npcLqYCS
Sjq``MkrISeAFqmibkaLEj^aS OrISArIGWeKISkkjq`B``MhMfY[`MKaS
GWPmibGBkrI `c
j`aZqmihQTg\BWElIVViRn OnRpc
On`` GKKKKKMkUWoRJ
SV``MqbnKEIWeJadPmQ _S
GWkaaAkk GKWWWeqmibBXmMV`MY
fO $
O SkKZJQ_EjVN
GWfGbVcGYGQGaaP SV`MhMKnqC
SVf`MqbfqejBYWPmobQBBSeqpih SbqbKUHgqTSPmhPDRrj
SOh`Mkd SejqK\UHZbqkkjCLrpYp``IMqbfY^UW
OP_^nnLqCLqCLdWBBRqqRq O`B
GKWWELpcSjKQjjKQj]j SjYInnSBjB
OrmdG GKKW\SG^UkhcLpY
Sejp`MhMhMKU_Ja SkKRKIGKWBJQ
OdSnLd[IKKKWgo SAShZkTSH\ZaaAcFqc\Eo
X SOKnpYpMKn
SebnTgf\BW_dKWeBqB OPpj^UeBMMB
OZUfkUWHISOkEeBqSBqmbkUeBR OPrch`MnkOYkeOfnWBBM
SVMYcFqkA $
X GKWknnL
SbKnpQU OE\jqmGiZQ`aj^E
OnIhMkSPNRqmQkk SeAnecGKU\gWRqmhPUrjAhEbPmQ
GW\jBWd\B\BW OrIGWf
OGHW Ojc^dnXeKZogW\So
SAPNEaA Z
OdgBBBHHW SdgfeBHBHWHaWHHWWW
OdgHISWHKNF^^N GWHFq`agogKWPmh[QcK^^^^^NFNj
OdeqmhAQWkU\gf\BH^dGogWGk GKWWRPIObnYrmHAnCC
ljaaU SOKnnaP
EhWW OnX^caATB\
GWGCIWfPmQTBPmQc\EGCaPI`a SV
$ GW
SeASqqM kOZYlV
OZaI E[baY
GfKWPmhEZhEh[h[Eb GWkU
EGW\OS`KUo GW\Bo
OBqqB GKKWHZAFJQHoJaeKmRBMRBHHWH
Odl SOn`QhbY
OEPmib GWDUkaNIcaK
$ S
Skekrf SebhMnKDV`M
SVMG SBfG
OPcRGhMfkdE OGPmhPUrRrjEQ[MYKGa
GWPmQKChbn`aELn $
GWeJagPmbeJQMV```MkE\BGddEfS] GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS]
RFEJQHZjBqkej OnIKnp
OrIBAnh\ SkKZJadffkUH\
SbY SjmjKhkWBJQELqpMfn
GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZ OSpcS]RjQjB
On`TBfkaSBjjQjjjBjjKCKKZjKKKKf SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjj
SkVNG Sj^UfGdZUWgGj^UeJaH^^aLY^
GKWBJaGaI[ lPbfd
Se S\AnXJbq
OGPmhJ[ On`WPmiih[
GKKW\ GLom\g\
f SAd^Yd
SOKaaP gOdGa
pO GKKWBKIO
SVM SAIXYd`aMbm
GKWPmh[ SV[MqjCLdWPmbPmn
$ SgYkVjKcI
GWeJa^cLqBh``MYKELqqMhM GKWeKISK
GUo GWPmQWeqmQTBeJQ^caAkbkGPmiQW
GgKKKKW\BHg OFXIGKKWBBSeBBH
GWBBqR O`B
GWkaS OrmeJMOn^npcLqYCS
GKWBCKIGK OZaIVN^YBnTB
OGWhVMY[`MfGYTBGCI`QGaIKeJQEaA Sj
GKKWknhoXIGKK _JQ_hWmf
GKKW\SG^UkhcLpYC OrmdGC
GWB\aDk`agnG^ OrIOFBMSeJQGaLpQ
rGKW\geBBHW GWBBMqMBHWW
a GWG^UHI
GKVO GWGddd
SejdZU\B\BBqmiib ^G
a OrmZBMqqR
GKWW SAP
SjBkZU OPZUGp`MkFSdKWf
OPN OneIc
GWfGbVcGYGQGaaP OnREcGqOKa
OdgGp`e Sej^aaA[`
OnX^caATB\ EhWW
GqKq\SeqmkUf OE
GKKK cgW
OZnh^CaAT GcW^kUjm\
OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQa OdjdZa
Sk^UkndKW\Seq MGWHjKGUP
GK OEBqmhbUmhPUrj[QKeXm_nnI
GKWW SAP
Od G\KWFPmih[Ai
GWHFqV_^nqkiRn OEPmQ`
bMZp OFJa^
GWeBq SA[BRS\SfBBRM
OPNZXIOFqm OrJISbKnh\PjTgPmhA
OG \cG
GKKcWW OGBJa
GZI Sek[MhMn
OnOdW\SGdrIOPG\S\geJQELna OrIOZaa
GKKK\WPmQ^ OPN_qq``MKnh
OdEacFq[ GWomWRqmb\
GKWeCBSBKmDkMG GKWGp``M
SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF GKKKWYfHFqWW^caPLdKWWEL
JbqOGY^ OPieNDOqOK
SeeeAP mnV
OEknhgqTgkaSjQjjZ OComPSQ^aS]RjjSKZ
KWeBNMMMBlHCWW OFBMqRBHHW
GWAiAgqpdP OEWdeKIGWP
Onei`KDkTgWgW^QUBJKQhb GKWBJaGaI[M
OPpj^UeBMMBHW GWeBBHWWWWHHWHWHHWH
SkKhV`MGkPcYkbh``MGYkeAShFqTB GWkodKgKKW
Sk SOhMkPNgWhkTBfG^ndWWdPmb\BffPmi
OFBMS GKW\gGdSEkeNHZekTBGpMGKU
OZaaPIT GKKWkndKKKKKf\
SV\MYNi`[```M SV`MGf
dGWSBX\AHqmbGCS OFJaHUmg\BHncnTBBJa_nSjZBjjKZ
CGWfPHmk OEPmh
GKWPmbeXm OcPjkk`QdBBqMS
OS Skep
GWkaaP OE_mka
GWH\FBqBHHWHWHHHHWWW OdOHoBqMBHWWHH
SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF GKKKWYfHFqWW^caPLdKWWEL
OSdKWPmib SbKCff
doW SOh`MkdZ
SjjTSfeJa^Y SAdDkKZjKmeqmbG
SOqjkREiRSjK]ZGjnQjjKKQ SASnSB
gOdGa OG\BfWMkWeKIOdGnn
OFJaHUmg\BHncnTBBJa_nSjZBjjKZjZ SbYkaaPS
OGPmQcK^NF^^^^^NF DW\SoYW\`WdHK
SkKRKIGKWBJQ Sejp`MhMhMKU_Ja
SbqAE hCW
SbYk TKKWPmbZSq
SOK SjCIcoKIKWbk
GKKW\Pi`kbn G
OdjdZaa OE\BBqmibBqmbfGp`````MfkG\S`qmQTgknpQaa
GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhMG Sk[M
GWHaK OSdWBKIOPjTgfepJ^YqM
GKWBCKIGKB OZaLnLhoXmR
MOEBBMXBH SAZUeBMBWHWHH
On``QeJa^Yq``MqeeAdhAr OGBEX
OnX CWErc
MOEBBMXBHHH OFBBW
OnX^caATB\ hW
OPcfhMfKaLEckZnhoqmbBJaGU OEH
OSqC [OrmBpSUk
OSqdZUoV SepkAddGdZaIK
OdD SOqk`aDkTBPm
_JQ_hWmfW SOY^Uf
OrIGWf GW\jBWd\B\BW
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OGfWZXmRJ
GS\U\Sk OSnIK^Q
OP_fr GKKW\gkUeqmhPUrjEibHoJa_dWfPmibPmbBBSPmhEibGBfnWeBRSG
SVMhMn[MGfnVjKpH\djCgIkK SA
OdESjKZ XKW\SPmh[h[TQTBkaSBjjKZBj
Skkk`agBXmHF OnXHUIGWfWeqQKHZbkGPmiQWHoKIGWH
GZI Sek[MhMn
SjCSjKQj]CjBjjBZBjB OPckdRKm_nSjQ
OSEjWPmXQK Od
Sk`QjdVeKmg OEeKIOE\BkU
OdDbY^ qAZ
Sek`a GKW\W
MOEBBMXBH SAZUeBMBWHWHH
SkKRKIGKWBJQ Sejp`MhMhMKU_Ja
OnRq^ndWHUIOPcn[ GKW\S\SWCdfGrq`
GWogWG SOj
SV\MYNi`[`` SebhMnKDV
SAZUeBMBWHWHHH MOEBBMXBHH
OSENMO E[ba
On]nSog OGPmQ
SbEkaSjZjZ]j OSnSjKKQ
SAdLQURHWfncISbKnnSSjQ SkWeJa_nSjQjB
OEBBSG^MaA G
SdgfeBHBHWHaWHHWWW GWeBBHWHWWWWWWHHWHW
G Oi`
Sb GAfGp`\
OnZWHh OGfPmbBBS\gfHFqVj[Mh`Mh`MGGY
gOdGa OG\BfWMkWeKIOdGnn
OEgJQEIc^kIYKeBR OGHZOqbkZUBB
GKKKKWGY^UeJaHKNF bO]SWK^K
OdDebGkGBmBiiboSkaI`\aQJQgPmbkUHniIqH OdDbnk
On``QeJa^Yq``MqeeAdhAr OGBEX
OdOHoBqMBHWWHH GWH\FBqBHHWHWHHHHWWW
XKW\SPmh[h[TQTBkaSBjjKZBjB OdESjKZB
Sjk`VcffGKUWg OSqdrISeebkZfnIW
Se SV`Mn[M
OnX^caATB\ EhWW
Sjm^aaPQLqhjT OPiInK^QUBJ
SOjC OSpcI`aDOGY^a
GWWZJad\gPmiQ`aZB SOaYWf\\BBqR
OEG^nqBnc k
GKKWeIOZ OZaIcFqc\GknqYkXHaKKWBBRSkaIkjqMkGG^
OG\Sk GKKWeIOZ
GWkaaPa OE_mkaa
SkTgWRqmih[ihAibkaIk j^nUeJQh
SVMGYWGj`a^caA JbqOGY
GWPmhAQTSHoqmibBqmiiQkAZaSBjjQjjK OE_mkaaPSj
GfG^nEcqjdgZnpQ GKKKKKKWGjWk
OPNMOqVMnT OdSnLd[IKKKW
ieAdRpH OrIOGWHFqcZAZnqjkO
OPNGaIc GWWdSH
GKWPmbWHZAFBRqRqB SVMY`aeKIGKKKPmbkVU
SebKaSB Pc`qb
SV``MnWfPmQcUmgknENeJQeB OFXIGWGYV_CIcUmZBqFq
GWBBM SkFXIOEWgpM^kjYqMKnENRB
GKWfG^aLhUmMjk`akAjBh GWWGUGk
GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK SAdeBqSW
OSp GWeKmd\gGp``MkG
OGMeqLhEb GKKKW
GWkUG SAP_Yc
OrmDkKGUWjdGomfkTemhAFqomb SjdPi`Wf\B
SV``Mh` WSk[
OGfHUIGKK GWkodKgKK
OrIBAnh SkKZJadffkUH
One OP`V
SUjd SekkA
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
SejdZU\B\BBqmiib ASqYCZIcgqcIOrIGKKKXPmQK^caAK
GWG SeCS
OrISj[^ OZaaAVj^
G OPckdRKm_nSjQj]
SVKgGqMncQUWELEiKaL SkkOkPcnkOfY
OneNdGkIkrISArm^QaI^UeBqqMRqqRBH OEgJQEIc^kIYKeBRB
SAFBqBWHH SdgfeBHBHWHaWH
GKK SjdSpQ
OnRE_BGG SkSpYpM
Sjm^aaPQLqhjT OPiInK^QUBJ
GKWBCKIGK OZaIVN^YBnTB
OEHUmRKIGWH e
o SAZaSBjB
SOYViIncaWW dT
SeASL SSeejO`c\dMGkd^cLo
SebKa Orm`HHeaWkaaA`QMjkYj`ao^Qra
GWHFqV_^nqkiRn OEPmQ`
SAPNEaA Z
OnIkZ JbqOGY^
GWPm OSGPm
OZUknd SVKgGqMncQUWELEiKaL
GKKWBqmiQWkUmiQWGjTgW^ OEfBKmMjkRpQnp
OnRE_BGG S
OFJQ` GKWfBJa
OrIGWf GW\jBWd\B\BW
OZndWHgq`Q GWaWJd
GKWW SAP
Odjq``Mqj f
OGfHUIGKK GWkodKgKK
[OndHRnL OS
In On
SAFBqBWHHH SdgfeBHBHWHaWHH
OFXm OZaaaaAK_dWBJQ
GKWHUIOFJaeKIOGWeEBq SjjK_EiXGaIKg\gPmibBBM
Sk`QjqMGGGhMqV`Mk GHKKWMKmg
GW\SBWMAFqmihAbWH^d O
SAnRhFq[M Sj
OPiInK^QUBJ Sjm^aaPQLqhjT
O^YCaA[`MqjkXRXmEIV SkV
SbqbhMh`MT GWfGbVcGYGQGaaPLd
SbKndIO OSqCI
OEPmhAbWR GoWB
MOEBBMXBH SAZUeBMBWHWHH
SeeVMqAGknEd SAdDjjkV`MGfYV_dZndWHUm
GWH^jKZXI NM
OPckdRKm_nSjQj] F
GKKW\SG^UkhcLpYC OrmdGC
OrIOSpYke_^neP_jLjdEknnAV SAne
OZnh^CaAT GcW^kUjm\
_c OSE
SVMGYWGj`a^caA JbqOGY
OdjYBkZa OEeJQMjq`MknWn
SkTSWRKIGKKWf Sk[```
Sjp Ln`caKKKKKWG^ah\k[
OGogKKW\S SAP_YkdRpQ
Od_nSjKKKQjBjjKQjj OPjKMblqA
OrIOrm GWgdWBXISeOqkYK
DkT SkT
OnIUkUk SebK
OGfWZXmRJ OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi
Jn SkkkcK^Nheee
SCeVMn[MfGKaaA SVMG
On`TBfkaSBjjQjjjBjjKCKKZjKKKKf SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjj
SkTgWRqmih[ihAibkaIk j^nUeJQh
k[I Sk^nqYq`````
m OnXH\dGndKKWo
GWkUk SjbLXaKG
[OndHRn SjCaP
SAZaS]Rj]jjBj] OZaaP]
OG SANZ
OFJ K
SAEeqmhPDRrRrRrRrRrRrRrjAQ _G
OZaaaaAK_dWB GWome
OPiRncIVcf`QHIGXH OSh
SUj SkVjTSGY
PD OrIG
SOGKUBJQRBRMB SA[BRS\SfBBRMqB
Skcoqmbk OqmQ^
[OndHRn SjCaP
SOK GWfGbVcGYGQG
GWH\FBqBHHWHWHHHHWWWHH SRBqBWWZWWnHHW
SBfG OEogKWWDjqM
Oi` Sk`aDVMY
SjMYcnNflBkShnc OPNhOKaaPLpQnE_B
CWErc OnX
SdgfeBHBHWHaWHHWW SAFBqBWHHHWW
S GKKWogWZfeJQhe
OGMeqLhEbG SOkn`kej
GWknp Sj^UfGdZUWgGj^UeJaH^^aL
G\ OdHa
GW\BHIGWGCIcZjCSjZBjBjZj\KKQjj Sj^aaPSj
GKKW\SG^UkhcLpYC OSn
GoV Sk[``Mfn`a_dKKKK
OZUBBSHncnWeBq IAFB
HWo GWfo
Sjj^U\SBJaM GWfeJQ^QndKelJadkaYI
OZaIWPibeBqMqqRR SbqAEGqMqbnkjdFB
SAZaS] SAZaS]jjjQjBj]FRjBj]
SAZaS] GKWeKm^
SjkIY[MGkFqmihPDRrRrjPDjA GmeBRYD\SeXIOFqmhAiiahEi
OFqmhAQTBPmbBJQ SO
$ p
OFXIOdRBMRRq nDjp
OnIfqV`MgKnnIkekV SVMKnE
[OndHRn SjCaP
WSk[`` SV``Mh```
OrmMkKdWDeOnWPmQTB GKKcW
SOqbGgnWHB GWBKmMOKnh
GWBZkaI[UM SjpM
I SOk
Sj^aaPSjKZ GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZ
SebKa SbYkaaP
GWGjWPmbGYdPjKdeJ oSek`
OPpj^UeBMM SebnTgf\BW_dKWeBq
PNRqmb\geR OShFq`aG
S OEGjca
OGBqOhPUrjPDRrRrjPUiRre SAddHoqmhPUrRrjPUrRr
OdDOqAGWeBS GoW
OSh OPiRncIVcf`QHIGXH
GOPmbUogKKWXISAN SjCLhaKWHoXIO
SOnTSPmQc^kXESjZBj]jjBjBj]jjBj]Cj GWHXmGnqCSjKKZjKZ]CBjOK
GKKWeIO OdjYBk
GHKKWMKmg Sk`QjqMGGGhMqV`Mk
Ui On`[MKUo
GKWGk OrIOSENMO
GKKWogWPmb\BC^p`MKnhaKKKW\ge OGWZ
GWogWWRJQdf\geKISAdeX LA
a GWG^UHI
On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQj SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjjQj
SAZUeBMBWHWH MOEBBMXB
OrISj[ OZaaAVj
GKKWBKI p
QOdgeXm^QUPmhAh\KRKmE OnXE
SVM SAIXYd`aMbm
OZn\ GWH^Ca
OEPmbfGkXM GWgdWBXISeOqkYKD
\O O
GKKKWkUfBBqqSBqmQ`QES]RjjQ SAdLQURHWfncISbKnnSSjQ
OSnLE SeBj
ASqYCZIcgqcIOrIGKKKXPmQK^caAK OG
GWPmQWBBSHgqcISVMn`Q G
SOKa GWfGbVcGYGQGa
OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZjQ SOqjkREiRSjK]ZGjnQjjKKQ
NSVM OEGCLhFqTBkUHFq`QjBKUGqMKUknp
SbfYVcqjdFBRRSHUISeVMGGnV_Bh```MKaaA^ gRa
qAZa OGeXISj^aI`aRKmMkkOqASpc
SbYV_CLqqMYTgGjWBX SgYkVjKc
SebKa Orm`HHeaWkaaA`QMjkYj`ao^Qra
GWBXIOrmeKIGWW^ GKdKWBmH\P_kXNph
GWPmQWeqmQTBeJQ^caAkbkGPmiQW GUo
GWeJagPmbeJQMV```MkE\BGddEfS] GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS]
GKWBCKIGKB OZaIVN^YBnTBB
OEPmh[QVNeKmhbfY`Q^Yj`a_naPS]jj]RjjKKKKZjZj SAdLQURHWfncISbKnnSSj
OFBSWe GoWB
E[ba OSENMO
GWBqmh[Qk OPjKMblq
OFeZqmEQ[ Sb
G\KWFPmih[Ai Od
OZSjKK OnXZJaEI`QGaIWBKmj^aSj
GKKKKWWj \cGG
D S
MOEBBMXB SAZUeBMBWHWH
k_ SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcFq^
Ormgk OEGjiOk_cKnEck
Od OSEjWPmXQK
GNeqmbHN GWHFq`agogKWPmh[QcK^^^^^N
GKW\go eOqek`DVMSpQUWZqm
SjYInnSBjB GKWWELpcSjKQjjKQj]j
OhAnX OPcGkSqqMqek`Q^QaLhnjK
GWH^CaA GWGCoLLcAjCI
OEfkaaA OrJISbKnh\PjTgPmhAQ
O $
N OnXMA
mnV SkVNeXISbnTSkaIV
OShIOrmeXIOrI MOdRBMKq
OPNMkcKNF^NF^^Nj $
mnV SkVNeXISbnTSkaIV
SOkn`kejq OYTBWM`[PY
O SAF
ck`m\QdGUKc OFBBWWH
OSdW GKWPmA
GWPmhEb GWkodKgKKW
OGf\gWGnpYj OrISj[
GWWGUGk GKWfG^aLhUmMjk`akAjBh
OGPmhPUrRrjEQ[MYKGa OPcRGhMfkdE
OrmRBBWWWWHWHHHWHWH OdOHoBqMBHWWHHHH
lOEPmQWP GKKWPmb\SPmhEQWPm
G OEBBSG^MaA
GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjKZ OZnnS]C]Rj
GWkaaPaP OrISArIGWeKISkkjq`B``MhMfY[`MKa
GWn OS
GWome OZaaaaAK_dWB
SjjW Sj
j`aZqmihQTg\BWElIVViRn OnRpc
CGWfPHmk[ OGWeqm
kcncKb OGWMkTgeXmMbfhMkZ
GWDUkaNIcaK SkTSWRKIGKKW
On`WBqmihAh[Qc\Za OPNGnpJ
SebnTgf\BW_dKWeBq OPpj^UeBMM
Skekrf SOf
OAZnlBgY OGeqm
OF SkKRBqq
GKW OrmDkKGUWjdGomfkTemhAFqomb
GWHgqKgHZ $
\c O
GWpBJdM OPN^
GKWeCBSBKmDkM OnI
OEeJQMjq`MknWn Sj^a
GWeBqq SA[BRS\SfBBRMq
\O O
SVMfYKESBj OShgqaS
OFqm MGWHjKGUPm
SOGKaL Odp
O I
SkV GfWcLEieb
Sjj`a_ BUhWEG
AOP_Yp`Mn^UkUfk OEfeXmG
hCW SbqAE
GKKWeIOZa SejkecqjC
SAdeBqSW GWPmQTgfq^YdEGddjddhAFJQDOqAFJhajjK
SjkIY[MGkFqmihPDRrRrjPDjA GmeBRYD\SeXIOFqmhAiiahEi
OSEjWPmXQ SAZaI
SAPieiIKUfkaL ^OPjkk`a^cAqDAS
GWkodKg OGfHUIG
OSE _c
Oi`W GW\B
OGHaKW GKWeJQRqmhQK^QaaATSW
GWWGaa OGGdrmhbYKRJaEaO
YP $
^OPjkk`a^cAqDAS SAPieiIKUfkaL
OZaaPSjZ]CBj]Rj]C] G
On`WPmiih OGPmhJ
SjYInnSBjB GKWWELpcSjKQjjKQj]j
XSOqbGkPdiX SV````MqOqbGhMn`QgkUf\SPmbPmiQW\
$ SkWeJa_nSjQjBj
Sk[``Mfn`a_dKKKK GoV
SV`M OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`Mqb
OZn\ GWH^Ca
OEgJQEIc^kIYKeBRB OZaaA`aZBMBWHHHWH
GKWW SAP
SeeVMqAGknEd OEBJa
GKWG OrmDkKGUWjdGomfkTemhAFqombG
OdZqmbHUmZKm_qp`MqbG \
SkKZJadffkUH\ OnUGddGUfBmbHgqTSBJQDA
Sej NSbQTCgG
Sj GWeJa^cLqBh``MYKELqqMhM
OS BUhWEG
OnRnaPSjQj]Cj SAo_YYk``
OdESjKZB XKW\SPmh[h[TQTBkaSBjjKZBjB
PDK OrIGK
Sk`aZBS\g\ O_
OZndWHgq`Q GWaWJd
OGBqmbfkaKaAW\g OFKmGU
OZnf GKWBKmH^BKn
SVMGYWGj`a^caA JbqOGY
GKWeB Sej
OdOHoBqMBHWWHHH GWH\FBqBHHWHWHHHHWWWH
SkKZJadffkUH OrIBAnh
dPm GWfPm
SkkbGkrmo GKWfeqmQVj`Q_pQU
SjCaP [OndHRn
SV`MYKdGdSnIWkaLpQaaAkOkSdK Ojc^dnXeKZogW\Sog
P SjY^nqke
SVMfYKESBjj Sjj`aK\BMS\Zbkne_dZaS]RjjK
OFBMBHH GKKKWkUmhAhPUrjPDRrjEib\B\BfBBSGYq`MkE\g\geBRB
ShM]Y`aDAZaL OPieNDOqOKn
GWeBBHWHWWWWWWHHWH SdgfeBHBHWHaWHHWW
OnIqk[``M OPj
OSEiX^c SOOnn
GKqKWGdEPmQ` Skkk[`
OEeqmbHaWWdGq``MqO OFeZqmEQ[
Sb Skekr
GWH^ OP_fr
Z SAPNEaA
m OnXH\dGndKKWo
MOEBBMXB SAZUeBMBWHWH
GKWBqm[hEb\gWeXG SASpcaA
Sbf GKWeCBSBKmDkMG
GKKKWBJQZXIOGHIOEBJa OFJQ`
GKWGp``M SV`YCMMf
On``QeJa^Yq``MqeeAdhAr OGBEX
OSh SjmjKhkWBJQELqpMfnc
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OEfNPm
Sk`QGUH\GkaaAk $
OPi`I SV``MqjkRdW\S\gkndKW
GKKWeIO OdjYBk
OZnf GKWBBSW_nL
SAZnnLqk`KEITS G
GKWeJQRqmhQK^QaaATSW OGHaKW
GWLPHLL OSnLE
GKWPmbBBSBXGOnXELEjW\gPmbWhejqMnKHoqmhPkUrj[QkeTVMqAnRqq``MfY GKKKK
OZUXG^aS]CjQjjZ]CjKKTj] GKWWgBXISbkZnnaPS]
SAne LOSE
\ OGHZVM
SV`M OPj^aIVjcFqTSogVKKKKKWWHZeAGGp`Mqb
OSdKKWGqMKnpYC OSqdrISeebkZfn
OrmDkKGUWjdGomfkTemhAFqombG GKWG
GAfGp`\ OnRq^ndWHUIOPc
OShZkWeqmbGB GW[Gk`[```MhMfGYWeXmDeOG
GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhM SASpcLEc
SjmjKhkWBJQELqpMfn OPNhAZU\BBXIOP_ddMVMncZk
MOEBBMXBH SAZUeBMBWHWHH
SdgfeBHBHWHaWHHWW GWeBBHWHWWWWWWHHWH
OZn\ GWH^Ca
_c OSE
Sbn[Mkr nEBK
GWPmbWHgqK_E OPcYVc
OSEjWPmXQ SAZaI
SOOnnL SjdneNj^n
GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhMG GW\gH^BGqAdDAZnEj^nqpM
BR OE\SW_qYpM
GKWPmbWHZAFBRqRq GKWBCKIGKBB
OG\ O_
GWPmQWBBSHgqcISVMn`Qe OEHncKUPme[Mn^UBae
OPcfhMfKaLEckZnhoqmbBJaG GS\U\Sk
SVMqVMqOGYTg gPNd
SAP_^ OE\jqmGiZQ`aj^Ek
QBWjYF OdDOh``MhMKnEcGh`
Tkc^C_aAQhWb Seee
SkSpYp Sebh
GWWGUGk GKWfG^aLhUmMjk`akAjBh
GKKKKKMkUWoR OGPmihAbe
OEPmQ`QH GWHFqV_^nqkiRnQH
gS GKWffeJaRBSHgqKZJa_EjWGqMn`ahAdD
CWErc OnX
OrIOZaa OnOdW\SGdrIOPG\S\geJQELna
OrIBAnh SkKZJadffkUH
SjpMq OPjKMblq
OdSnLd[IKKKW SAPjW\
OZaIVN^YBnTB GKWBCKIGK
d GWf
GKKWPmihEbHIGKWPmb\BPmQcWgWG^aL[cI SbGnKELEiIqkVjTBGj`QjdrISjj
GKWPmbWHZAFBRqRq GKWBCKIGKBB
Ok]i SeAn
GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj] SjCI`QGaS]jjjKQj]RjjZjKZjZ]C]
GWHQZAGWhjYYBfqAneckGWhekWogKWffkndKWeqmbPmbBJQg SOKUGjWWdHUIGWf
On`WPmiih[ OGPmhJ[
SAEHnjTBBqmiQK_ mOnIfKnnLg
SZVMYc OGHFqVj^nh
OPpj^UeBMMBHW SeeOYTBfBBRBHWWWHH
SdgfeBHBHWHaWHHWW SAFBqBWHHHWW
GKKKKWGY^UeJaHKNFN bO]SWK^KN
lOKkf OFKmZXmRqmiiih
GWWZJad\gPmiQ`aZB SOaYWf\\BBqR
OGPmihAbeJ GKKKKKMkUWoRJ
OqmQ SjYj
Sj SjjW
