27737
lcElh ^P^Kb
lcEl`I^lL^Gkd RS
` Qg
QgdBNAjNhU lKLBgJdDNh
ngrN Qg\EfVVZLCN
dGSfILCNYNdj dXSCNE
^qX^e lPkdg\cXkd^eGNJ[mNSqZEMHE
^T`POlcE $
l`plOhXF^r ^WdXkd^Sl
^YXSCkGmBNWUpdj Q`gMVZILlCNpdj
$ Q
plPNWU dGSgXNWUU
ke ^YgcE^qB^`NeF[q
dleMVZHMMfVZLCda ^SGSghR
Qlgmbkkd^ePJ[mNS_CWVXndLCSfZIM QbkJL
^qX JeJ^`aMnX
^ VQlqB^G
lP ^CWVdlmPhDN
^CFKJVJEl\` qQ`CC`C
^S gdngdh
^SXN lmNDSgleBZILCSCN
PdXNNAdjjWhd lmDNAd
^WlRgJFnSYjcYB dZBhC
$ ^qEFB`Vd^Mn
l` ^e
rdSj dhf`j
^WdGNEjUU dhUNO`rNAEdUUUUNj
QgnGSCSCNWUpdjjUNjU hGYG
Qg \SnClnBX
^ThlLB\RmBdLB $
dXNAdjjUiNUpdjn lR\`S^TPSghL^qnL^XNYUUUNNp
lRgJdNLRmjernf[ QgF^XSggRda
lKUgBZMgh ^qkjJVmImjRdXkdhcBBdUgSQgQ
^Yg\llf`B G
ClKcc ^ThhSBjSYBXSdGkGhlcojf`jSc
dXkGmplO ^qBBJHNSmJ^PJ^_CE]kWl
Q NlPSghU
dlGkJRmcEd ^Y
lmIBZ QlGSgX
WXYhGreJ lRX
^aqprVd^Wdg l`POXWl
Qllcj lRd
lRdeBVZMfZMfVZLggmI QllUlqmB\R^q^gRgJT
lW`Bkdlhlamje\EfVVZLCNhU lRXmXqX^TRYDNWUUU
lmBkddl lXYIl
QlXNAdj ^TPNHUN
dhUgmPNrjN lRrLMCkd^VXPNdNYN
^e ^W^JVXm
ClKcc] QgF^hcc]]
^JNeFB`F ^eZqKdjCEPeF[BjJBJNSFCEPJ
paE Qg
lcE^ShUlg lPSfVZIMfVLZILfZMgg
^TKRlc dlaBjGkJBVVVfZIIMggc
QlXN] lRXm`DSgGN
dgmI ^McpVXWddd
^Ylaoj lRgJdNLRmjernf[oj
^YGkdl ^\TB_
^YGkGR\`MVZLgG dU
^CEPJ^JCFKJMHVgNeNeMH dgXqi`NCWMH
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCSf dGSfZLf
^ThX l
^MnX^qB^qPe ^eZqePW
lcEdXk mg\lk
dXNEYjN lKcBBY
lRXdbSCqkdlcEQlGNNhp dXNNNNYNndjhdjn
dhCLmB\FLRnBL QgF
nkgWBVZMgXNrCJ lPNYUUNNUUUUphJ
[PSCNbrU dGNEhdjNU
dX ^W^SqmB
^WdGNEjUUN dhUNO`rNAEdUUUUNjN
\ $
lPNWUUUpdjj lKcoBYI\mjSmBXrNYNjU
^eP oPYdE^
lhlcoB^XrSfZIMgGSqgXkdlmDS]Ln ^Yl
lXGiQ ^JMHWGoQ
$ ^CWaTRYI
lRgJdNLRmjernf[ ^Yla
Q` Q
^dHKdj dqBdR^
dXNAd dXNAdjjUiNUpdjnd
lKR^djVJElKRl`POmInG ddaRojbi
^qi`FL ^dKe
U^qE ^dKJ
ClK QgBZIMfZLgl
^eGFBqGFBJJ[`MHEPJ[ $
Qg $
^ekT`InaoB\`L QRgL\
lhlLmjaB edqnSm
l`bN l`boNb
lKG^rBYDSgGkGXT`DNNWphJ l`bNR_UUphpJ\J
dGNWpS QbkJnGNENUUUUUpdjjNnh
Qlq QgSKhf
dGqSfqILVZfbILCNY dGNNY
^e lRXmm
^eGF^JNSmNSJeadj ^MpMH]VaqE
dXN ^She\ECSfVVLkG\lg`bN
^e lcE^eGME
lmPO\gMZ QllLmjRdGDSfZ
QgdDSCSfZIMCkGKSmBYBN lmNDSgleBZILCSCN
dlamB\` g
lh\gqf` ^WQlgRgJl^rBdaB
dleBZ Ql_q^GkG\gMVZ
lcEdRqB\R^c dhf[Bj
^dKMpMHWaeZEaT`P ojf[oBPMl^j
dqnaBjb^L`FBmJ\EfVZfZI\I ^TXTKGkJBZII
DmI^ dgmI^lbkJQnUlGkGXWd
dXkd^TmPQO ^g
^JNCEP lXeNNS`F[_qB]oNS_NS_
d ^WlKRdXSfVVVVZLfZIIMgl
^JNeFB`F ^eZqKdjCEPeF[BjJBJNSFCEPJ
lhqBgJFmjcYB\`QBXdD dIqNnG^r^
^qXQ haBgJ
lc dgc_lc
^JTa ^
QllXgFmB` lR
^SGNNEjUNhd mgLfZMUVVZLCNYUNNpd
l`BSCSf Q\EfZMfV
gNrkJ ^T\
l\Dkfm`Inee dgcEQg
OXCFjqqjp lXCEk
lhheQB ^qBBJHNSmJ^PJ^_CE]kWlR
lhgPkdl d_
^VJKElcimjfM`BQXRgJL ^Yg`DkdQgBVZL
GkGf`cBjcmjcBj dhSoBXdbkGRgJLgl
W lXMhUpVJEdXkGXVXmbkddhf[BB
lRXdbSCqkdlcEQlGNNhpd dXNNNNYNndjhdjnd
dgXV dRg
dqBXMZMCSghc ^qXeclKa
DmI^ dgmI^lbkJQnUlGkGXWd
^e lcE^eGME
^VJ elDc
^dKTR\ lmF\FCFL
lmBSggR ^MhU
dgmI^lbkJQnUlGkGXWd DmI^
QlgKLmjf`BXNL ndq^Kq^YB\
UPA\ ^dKVJEdlaYBd
^eGUG_Q l`DSgXSfVVZLfZMggXWlXCWGoQ
gq dg
R\`d l`
lAmFXQ^XkddgcEdqfnLne\ Qg\
dhcoBYbSgqBYbkdQb^LFL`rkGcEdXNrNU lPWU
dGSfZLCSghG^rneSQg Qcg
ld lPSCkGRd
^e lRXmm
Qgm`ImjeBVlSVV lcEdXSfVZLf
Qb V`PkGKf`B\e
m^TmDNhpodj dghXNE
^VdQlhLnRl \
edqnSm dlSmjRdlL
^gXlL QgQ
lcEl ^YXXg
lhVYUUfljN lPNWUUUpdj
QgrkGXqEF[ ^eZqKdjCEPeF[BjJBJNSFCEPJB
dg\lHGSC]fZ dleBZ
Qlmgoc_E $
lPSCkd^MhUh^VJEl`PQOKf` dhc
dlLn MQll
QllaoBXBZIILhLlgRdaoBdSYj dg\lhL^h
dgPNWpdjjUUNndjn QlNA
dg`P ^MpYaSNN
lPSCkd^MhUh^VJEl`PQOKf`B\ S
lXdj dqEn^U
^WdlUgnlc QbkJLg`FgJFmjc
dhLB\k lhlf[ojG^rneQ
^qEVddhbkJF^XkGmI gQBgJokG`kQQQQOhlf[
gdngdhG ^CFKVXPSCN
lRXLfVVZMCNWUUU dZmGg
l`BSCSfVV Q\EfZMfVVV
^Yq dheLfZILfRVZILgla
lPSfZLgqB d_h[jGbrmB
QbkJMVVVZLCSCN dhLeB^GNNA
dlf`B\R^XSfVVZIMigGSfZIIMCSfZMfVZMglL dqBYI
KQbkJMVV QgMVVVV
Q\EfVVZMCSgfGkdlKf[ lKS
JeJ^`aMn ^q
Qb^LFr^GSglSmjSojc QgSKhf
cKPONhU lcElcEdGSCNNhUUUUUpdjN
^ekYlbkJFmjaYB\ dmB`QmB\ekJkR\
Qlqnf`BXS^ThXkdlXSGNr QlGZN]Khpd
nhqnamCBgJMVVZLfVZIMfZ QgQmje
lXWlcE^JVJ dhR^dKdVjVddgc
g^YgP ^qEVJEdG
lXSfVVZIMfVVZI dqmBYF\`
lRdeBVZMfZMfVZLggmI QllUlqmB\R^q^gRgJT
^ ^VJ^djVJElcElJ
cF ^J
^R dlR^Mh^VXXeZEaMnimJ^qGa
QgkCMGPNWUUUUDU QgLgq^GNWU
d ^aqprVd^Wd
QgNrB QlGkhXWZGlmF
^SqlUbYl^L ^JMHE
Q ^T\PhGkJNro
mgLfZMUVVZLCNYUNNp ^SGNNEjUNh
dqDjbkJSoB lRXmhGSf
dqBYI dlf`B\R^XSfVVZIMigGSfZIIMCSfZMfVZMglL
FlKL^lUnlha ^VXmFYI^qm
lcE^ShUlg lPSfVZIMfVLZILfZMgg
^Mni`FBm ^QraVdb^
lXeZqKqB^mCFKV V
qXkGXSpRhLnLBPO l
^ePN ^djeZrB[`FBJN
QlGkGR\ek YUoBgi
lmplOKeLfZLfZIMCN QlN
lcEdhGkJBVZMfVVVV Qb^rmjSmB\`HVZIMaf
Q^llRdl lK
QllbkJnGSgqBdLm Qllc
dGkdg dqmBdGkJ
^SGNNEjUNhd mgLfZMUVVZLCNYUNNpd
lP VSCB
^YGkdl qQH
^CWaV ddSCk
Qlqnf`BXS^ThXkdlXSGNr QlGZN]Khpd
lPkddGkdQgrkGqYFden lXCWNCEPeVX`F\`rSg
lmBSVVVVZLfVVVZ QgQBgJ
lm ^eTW
QlhcBjcmjf lmpljOcEUqmBTpff
llr ^Thl
lhX ^WldOcEldDVSYBdS^rBXSlhX
^dEjVJEQ l\
QgLglRl\bkJNLekJF^gXJGieQXR dqBdR^JGopR_
dleB dg\lHGSC]f
^q]XXF ^YgX
dGNhUUphJ\J IPcqq
rQgLgq dleLghL
dq^gKUgMZMfZIIILghaoBgJrSfZ ^CEkShcmoBX
QllLmjRdG Qgd
^JV^^W^T l
lhgcElcEQ lQ
dlR^Mh^VXXeZEaMnimJ^qGa dXkdWY^CX
dlGkJRmcEdg ^Yg
dqnLmBgJrSjXghS`I lKc
Qgnlb^ i`h
d^NNE dgPNE
lXdj dqEn^U
dhS rdSja
Q dhRWQ
QgMZMCkGRg $
lcElP dMLRlRgJrXgXkGYlG
Qgr dXSfVZLfZMCkGRdLmjRdGo
QlqBYI dlRdrf`
^MnX^YXSCkddg`ImBJ\EghamB\`LfVVZIGCSCN ^Thq^GkddGN
gdW ^CFjWlcElmDkGPSfVZMg
^WQ[lhTLmBdaYjUlgcEd ^SXkGmDSfZMg
^J^J ^eGF^_
QgVr dhLm
lP ^CWVdlmPhDN
lPSCkd^MhUh^VJEl`PQOKf`B\ S
QllXgFmB`X dlSojf[Yje
^h^JgF dqnaB
dg\b^JlX GG
^McpVXWddd ^qXQgBZILfVVVVZMgqmBYI
^MpVdlhhLmBX\ECNYNhhJ RdNdlOmDWpdjhhJ
l ^TO
dg ^qXecl
dXSfVZLgXSgheNrB\`QnRd ^VXdGFSglLB\g
d^qnYBjL^qOnaBBdUg\EC dX
QlXN]r ^Vdl\llemPNYUN
YZcE $
cEl dlLB\
dhS dqB]\R
^WlmI $
^McpVXWddd QbkJQ
^TXCE ^Wl`POXEnYXkG_E
dqn VlRSdb^rnf`
Q`gMVZILlCNp lPNWUUUp
dhGkJng`FLCNW l`bkGmIB\ekJNr^gRgJ\EggPNYNjNNUUpdjN
drglLmja dl
lXeNNS`F[_qB]oNS_NS_N ^JNCEPN
dgKc lKf[BjaYjcYj
dq^gKf`jeBVVZMCkGcE D
KQbkJM QgMVV
Q`CC QgCCHC
bB^ dq
dAcjE lcEQ
dlGkJRmcEd ^Y
AlKG dqmjRlRgJl
dhf[Bj ^gTXTXBdl
dhUgMZLfZfVVZS ^W^CEkdKCEZqKdKMhUnXdg`
lPkG`F\ dmB`QmB\ekJkR\
^dKeYlaoBXO Qg
dlR^Mh^VXXeZEaMnimJ^qGa dXkdWY^CX
lKaY lPNnSYje^mBgJFn[S
^eZEM I\W^CVNeaQqB[JJ[mNS_^M
^ ^W^Sqjdj
l g^Yg
^ lXXJHk
gmImjfPmQjSYf` dqncY
^McpVXWddd dGSglL
l\Dkfm`Ineemc ^eZi_eVJ
^eZi_ ^eLiJ
aT ^VX
Q`gMVZILlCNpd lPNWUUUpd
^B]K lPSfZIMCkd
l\gSl lqplhPOmPQO
lXeZqKqB^mCFKV V
^YG QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMC
QgQBgJnhf`BdeLfVVVZMgqnSBBYoN ^CVaT`POcEdGN
lPSgnlcoBXm\ l`plORdLBXQnU
dlaBjGkJBVVVfZIIMgg ^TKRl
rPkdQlXkG`eYUNjUUUUUUUUNhh dgPSgGNNWUUUpdjnhJn
lRdamB ^VVqd
lRXm`DSgGNr QlXN]r
lShlRlPS dXS
Qlhamj YZcEQ
lmXRBZMfVVZMgl dl
VglP dG
gPSCS]XSfhg l
Qb^rB\` dg\lXSCVZMCkG\g
^CEkShcmoB dq^gR
$ dhCRI
ghg ^Yg
PNUUPjNjUPN\ dqBYbNY
$ f
lAD dq^GSgGkGmDSCSfVVZIMgq
lc lcHdGSCkGKXoMnBB_NSqkVJElc
dG dhamBgJm
QgQB\ekJBVZMfVZLfZLCNYUNjNj ^ePeaYhLnbkJMZILfVZIM`NNUUNj
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS dGSfZL
QgMV dlfoBgJnNSf
^JaVd^CEGkGMHEPe dlSYjeQnR^CFjeZEFB
dGNNYN dGqSfqILVZfbILCNYN
^Yhf[ dhepVZMZMfVVZMghS
QllUlqmB\R^q^gRgJT^ dhRd
QgBV ^TRomKRXl`FgJLf
dGNhUUUUUUp GdhqbkJPNin
^JVXKUgdDNNEjUN A^VHPXNr^nN
^WNQngdBN ^WdXkGPN
^JNNS_ ^W^eGNJ^]qaYW^eZB^_
dhRWQl d
Qb^rB C^VXR
^VJElXV dFqmB
dGkddhf`BYDSfZMCSfVVVV ^JMHW]F^mCWMHDWVdQgrSfVZLTVZMfVVZLfA
dXNA ^Sq^XZWUUUUpdMn
^[qGFBM_J^qGF^_CVV lXJaV
lnhqBMYbSg d
lRgJBVVZIM lmbSfVVVMfVVZL
^VXKamjcmBgJl^JbkJMVZILfZ ^djeGFBqZqKT\gLfVNZ
dlcc dGkGXSqBXnlc
dq lmbkrIXSQbiJF
lXYIlR lmBkddlR
dq^GkXmIBXLmH dG
lRrLMCkd^VXPNdNYN dhUgmPNrjN
QgBVVZ ^SgcEQg\EOZ
lXW ^C
$ ^YhL^
Qgnn dq
^JaqEVdQbkJrkGcEQb^r^h dQm
QlgKSmBdeMVZIMglSmB\` QRdeVZILCkdlFXEVgqn\kJ
]dlLmBSY lm
dgKa ^qXeclKa
^ ^q
d\ l
dleSQgmR\RBXnGkG\llf` MQ
^CF QEl^f[Q
lXW^JMHVaC \lghJF[HJC
^ePeaYhLnbkJMZILfVZIM`NNUUNjU ^Mh^F^JNSmNSJCEZi_eaJaSGNrj
dle\Eg[ ^T
^WQgdBNNNENU lW`Bkdlhlamje\EfVVZLCNhU
^ThXSfVV QlheLSISf
dle\Eg[ ^W^T
dqBXMZMCSghcc]]] qqmBYPOKScp]]
dhUNO`rNAEdUUUUNjNN dGNWUU
^dEjVJE lcElXTcElXW
QbkJm Xl
Qg \SnClnBX
^J ^dKWa^MpFp`MnHEkMp
$ O
Qgm`BSghLnf[o ndlcY
l`Fd dG
^qkjJVmImjRdXkdhcBBdUgSQgQ lKUgBZMgh
dlcBBdGkJdbN R^VJEDcEQlG\N
oPYdE^C ^ePC
dgPSCSCNNYUU l
WdKeGFB ^JMHFKePNSJNS
l`Ph ^SrB\RBY
lKL^GkddhLnSoBYI dhaoJBXm\bkJF
QlqnSYBTb^LRBYPm dghlSYB\RBY
DmI^l QbkJQBYIn
^T\`OCCCCW QllRlcEQ`CC
lPkdg\cXkd^eGNJ[mNSqZEMHE lXMhUhUpMHE
^qB^`G ^oMnE_QXR^ERQRirQR
l`DSCNN ^BMh^YVX\MdN
l`plOhXF^r dqmj
emh d
Qib QlXSfVVVVVZMgg`IBYFgJMZMgXkG\b
^VJEl dmB`QmB\ekJk
l lQ
mg\l QgMZMCkGP
YMd dXNEhdjNpdjhhJ
dXMGco`E $
dgKf`BdeLOVZfVZMVVVV lmPhI^q^XkGR\FJgMZMf
dGSgq^ V
^JaVd^CEGkGMHEPe dlSYjeQnR^CFjeZEFB
lm dGSgqBlRmjamMBY
^qXQb^Jl VSlG^eLNJ
^eZB[JCEGaMniJCVVJEQ H
QlgXT $
^WdlSojf ^daKJVddqnf
dg ^CWNeV[JEl
Qg\Ec dGSCkddhGkJFnR^Thhf[BjbkJQBX\ECkG`ImjLBYD
dSlaXY ^TcE^Shao
dgKf`BdeLOVZfVZMVVVV lmPhI^q^XkGR\FJgMZMf
lcEQgMZMfVVZIIILfVVV KQbkJM
^eZEM ^JFm[`M
$ QgdPj
dX lcELSgXSC
a lcEdqBXF^q^h
dgPN d^NN
dhGkJng`FLCNWUU l`bkGmIB\ekJNr^gRgJ\EggPNYNjNNUUpdjNUU
^CE W^WePNCOJJ^q
dhcYjeF^XSCNEhhJ CWNPSSB
le\ECklGc lhgcE^ePCVNeVJ
QEgdInGhJr Qlhb^JbkJLC
QlhUgMVVVVVVZL ddS
lPNAdj PdXNNAdjjW
^ ^q
QgQ^]h dhRQll
Qlqm] Qlh
dqmjRlRgJl AlKG
l`pljjhD dGK
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS QgrSfZLCSfZL
^aqprVd^Wd dgPkdlh
^YGkdl ^\TB_
^JV^^W^T l
lcElcEdGSCNNhUUUUUpdjNp JdXNNhUHgp
dq^qmjb^LF N
lmPhI^q^XkGR\FJgMZMfV Q\Ef
dqnUgSQlqBX\ECNA MlEPN
V ^ThlLB\RmBdLB
lPkdl agmPkdQb^DgMVVVVZqgg
QgmKR dFqmBd
^VdQb^LF QRiI
dGSfSVZIIILCCkGPSCNhUUUUUUkph QgLCNNWpdjhh
^TKf`jLmB d
l`FYbSfVVVVZILCSgGk VSCBk
dXkR ^TKaoB
$ Q
QbkJ QEgdInGhJ
lcElR\`Q^XSgqBXFB\`NJgBZMfVZILfVVVVVVZILCNhUp lXMp[Je^mCEZB[_JVMHVVXXSXkGXPkddXkGUGNA
lRFgJJI QbkJNrne
QgBZMfVZI nhqnamCBgJMVVZLfVZIMfZ
W ^ePJ[qkdKqX
l QgNrmB
^SqBgJF^qnLBYplOmBNNWpdjjUUUNndjNUUUUU lPW
l`P ^SlR
VleYPO dlR^qBBJJ[meVX
lmF TKRlR
dlcm ^VJE^eghq^q^qmjaY
\Q Q
QllcmBY lmFdAYB
K l\`CCC
^Sg ^VGX
QmmFbSU l\bkJdb
^SXN lmNDSgleBZILCSCN
^Mh ^MhX
dgcEQgm l\Dkfm`Ineem
^djeZrB[`FBJN ^ePN
dHG lcEQb
f $
QlcBX ^VdlPkG
dGkddhcmBYIB dX
dqnf`jeQmjf[YjU dGkd
lmFdU $
lcE ^cE^YGkd
lcE^VJElcE QlGkdlKfR^W^MjpVJE
l`BSCSf Q\EfZMfV
dgRdb^L QK[QYB\
QC QgNJ`C
lmXRBZMfVVZMg d
QbkJLg`FgJFmj ^WdlUgnl
lKenXkG PQd
dXkd^qB[_eneMH ^C
^Eh^V ^YlaojSoBYBk
AlKGk dqmjRlRgJlk
QWkJMVVVVZMfVZMfVZMgGSgGSf QlXSfV
^CFKVXPSCNN gdngdhGN
N Qlg`IB\F
lm ]dlLmBSY
QgMVVVZ QTXSCES\fVZ
QgnXNYUUNOId lcElcEdGSCNNhUUUUUpdjNpd
Qcg dGSfZLCSghG^rneSQg
lcElcE^YhS KR
dGkT^T l
JeJ^`aMn ^q
DmI^ dgmI^lbkJQnUlGkGXWd
lmFdAYB lhhbkJd
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS ^YGS
d^NN dgPN
QgF dgRYIq
^eZENJ^m ^ePU
$ QgdPj
dXUf[ZMfVVVVV]_I lKe
lcEdRqB\R^c ^WdXkd^Sl
lmbkrIXSQbiJFnc ^djqXlhhUgdFd
d lnhqBMYbSg
QllamB\RB QlhaDB
^qENJ^_NSm DdhR^CWF_^m
lmp dLlLBLJ
lcElcEQb^ dLmUWN
Q`C Q`lZCC
YcbdL ^WQlgRgJl^rBdaBB\
lXSgcEXeZB[PJBJN`VXrPfZLfVZLC dX
^Eh^V ^YlaojSoBYBk
lXMnB[ ^^qi
lhGr dGNNr
^qi`NNS_N ^qBB_gXP
b dqnSBjSBjb
lXeNNS`F[_qB]oNS_NS_ ^JNCEP
QgF dhCLmB\FLRnBL
lhXNAdj lmBS
dq lmbkrIXSQbiJF
gQBgJokG`kQQQQOhlf[ QgF
lcEdhac lhjhcmjcc]]
^JVdQbkJUSQihaYB\ QlgR\
MQ lhlf`jGkJdplhI
^Ylf`jedDS QS^EkVdqQgBZ
C^VXR\` Qb^rB\`
lcb\lU ^MnqjePCEZB^
dg`BSgXkGPkGhGN ^SGNNNEj
lhGNhpd PdXNNAdjjWhd
^eZB[JCEGaMniJCVVJEQ QlqnR^YgKp
^hlR ^eGMHVaVd
X ^CEGV
dgKc ^MpNeNJ^qkTPkddh
l\g\EfVVVZIMgXNWUUUpdjndjhdjjNNUU l`bNNVW
rJY d
lPSCkd^MhUh^VJEl`PQOKf` dhc
^ HF
plPNW ^WQgdBNNNEN
QfbLJQhL^hL ^YgRYFXFm
^eP oPYdE^
lhlLdf`jR lhlf[ojG^rne
^daKJVddqn ^WdlSoj
hAq^ ^eGNCE
d dhH
^Y $
^eZB[JCEGaMniJCVVJEQ QlqnR^YgKp
dg\lhL^h QllaoBXBZIILhLlgRdaoBdSYj
QlqnR^YgK QlhUgMVZMfVZLgg`
$ ^q
l`bNR_UUphpJ\J lKG^rBYDSgGkGXT`DNNWphJ
l`P ^SlR
lKSmdamjL ^WlmI
lKU lr
QcgQ dGSfZLCSghG^rneSQgQ
dlcc lPSghLmja
^CcVVdQYb^r^TGN ^SXNN
dGSfZM QWkJMVVVVZMfVZMfVZMgGSgGS
l lmbSggPSfVVVVZLgPlLBcEl
d QllamB\RB
dGNddj lmbNNNNYN
hqneMVVZQg lh
d lRXFmjSRd
^WNQngdB ^WdXkGP
lPk VSCBk
^djeZrB[`FBJNS ^ePNS
QlGZN]Khpd Qlqnf`BXS^ThXkdlXSGNr
QllUbkJlkJN j`
^VJE^eghq^q^qmj Qlh
^TO l
lPSgnlcoBXm l
dfd Qlqnco
$ j
Qg dehf[oBX
$ ^YhL^
dhCRI $
^WNQngdB ^WdXkGP
$ lPSfVZIMfVLZILfZMggcE
PdXNNAdjjW lPNAdj
dXNrFjNhhJ lPNWphJ
^YlSYjL^ lRgJlkGmMl
^CEG ^eLiJe
cd l`pljhImB
^VdQbkJmXeP_FjTR ^Vd^SqmBXngKSmB
dleBZ dg\lHGSC]fZ
QlGZN]Khpd Qlqnf`BXS^ThXkdlXSGNr
lcEl\l l`ImjR
^R dlR^Mh^VXXeZEaMnimJ^qGa
^Yl lhlcoB^XrSfZIMgGSqgXkdlmDS]Ln
dgXqi`NCWMH ^CEPJ^JCFKJMHVgNeNeMH
GG lcElmb
dXSghR^ ^CEVGMHVVJ^ePCFjTX
^TRg lR\`PNrBXYmmPjOKbk
QRdeVZILCkdlFXEVgqn\kJ QlgKSmBdeMVZIMglSmB\`
^VXdGFSglLB\g dXSfVZLgXSgheNrB\`QnRd
lRf dqnf
^JF[ DdhR^CWF_^
^WdXkGP ^WNQngdB
^CVNJB_CVN ^CeZi
lmBSVVVVZLfVVV QgrSf
$ QgQ^g`
^JMHFjdjqBdJJBJeahhcY dqm
oPYdE^ ^eP
l`p dLlLBLJ
QgMV dlfoBgJnNSf
Qg nhqnamCBgJMVVZLfVZIMfZ
dhGkJFmjamjcYjSmBYF\RmjRlRXl^Le^LFrm ^Wdqn
^ePCWM ah
^TcEl f
^TmF ^[HcBBYImB
lmpljQO`I^XSfZLfZIL giXNZA
^MhUpWVX l
^She\ECSfVVLkG\lg`bN dXN
d UE^g
^MnEadK A^T
lEc QgLfZLCSCkG`
ddaRojbi^ Qb^LF
dgR\`L QbkJrrZL
lRgJlkGmMl ^YlSYjL^
QgMVZLCN cl`SDNY
leb ^W^YhRl\b
^e^ZE lXdKJF^_CW
^eLiJeV ^eZi_eV
dX VglP
^JNN_D`iMHFKYqf`Bdn lcEQ
^Sh daVRih^JkJn
^Mh^NCFKT\lg\grkGPkd ^dEjVJE
Qg nhqnamCBgJMVVZLfVZIMfZ
dgR\RnSojSojGkJNrB R
dfSf lKf`BgJMZIMfZMfV
lXM ^
^YgXM ^q]XXFM
QlhcBjcmjf lmpljOcEUqmBTpff
^ePUe ^eZENJ^me
lcEQgMZMfVVZIIILfVVV KQbkJM
^SOqBgS^JVJE QgFBgJS
dXNrFjN dXNYN
dlf`B\R^XSfVVZIMigGSfZIIMCSfZMfVZMglL dqBYI
^CFKTZXeZi`Gir lXqiJNSJNS`G_
lcEQQVZILfVZMfVZI dgmIBdaojcmjRlKGkJBVZ
l\g l\g\
l\gdIamjaBBYPQ l`P
l`bNR_UUphpJ\ dGNrnhJm
dXkd^qB[_eneMH ^C
^ePJBmeF^qkVX`PhPjjhFX g
l\lgKcB rdS
dgmplOmPQOmNrjNNph l\gBZIMCNWUUUph
lmpXlORQod lcE^Vddq^g\lXkGPSg
Rd ^qXlmbkGcE^qBB_CF
MPNYU dlL^q^GNYUUUUUUN
dX QgSlP\
^SXkGmDSfZMg ^WQ[lhTLmBdaYjUlgcEd
lG]GhchSYBf`dplOhq lhgmI
cERYD lXVJElcE^CWaThlf[ojaoBgJBZMgl
lmpljOcEUqmBTpff` dgKam
^Tlqi lX
QlhSoBgJl^L`Lglcc]] lhjhcmjcc
^dKeYlaoBXO\ Qg\
Qll lhjhcmj
^ThqBgJNL`FB R
lKcmjf[BYBSojf`BdUbk lmInLnGk
^WdlUgnl QbkJLg`FgJFmj
lnhqBMYbS QgLfZL
Qb^LFr^GSglSmjSojcm lRdfl`
dg ^qXecl
QbkJLgg ^JdHFKT
dq^qmBXF^qmBXdbNWp `ENWUp
QbkJNr^XNhUUpd rW^qi_JBqkSXSggmDNrnP^
^W^\lhQaBYFde\ Q
Q ^T`POlcEQ
lKeLfVVVVZ`CkGmBkdlh Ql
l`DSCkGRXSdhcoB QK[QYB
^qEGijQ `kXJcgk
BePCEGF^[^`V dhUgmcE^VXhqBdb^rBXLCkGXV
dqncmjLnUgmmDN QEgdInGhJrN
dg`BSgXkGPkGhGNN QlXNYNjN
^YGS QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS
dlVkJdbSgq dgKf`
dqEn^U lXdj
^TRomKRXl`FgJLf QgBV
QgnXNYUUNOId lRgJmmBNWUpd
lR\RmjWjf[o lhleMVVVVVVVZMCkGhlenlL^gK
JeJ^`aMn ^q
^ckRO lRdSYjSYjamBXMVZMfZLgq
dqnSmBgJ\ECNY PNUUPjNjUPN\
lPSfVZIMfVLZILfZMgg lcE^ShUlg
^rQlhG^rB\RBdaBjfJjUg Qg\EC
klhGSglf[YBX dqmBYFX
^JaqXQ $
QgNrB QlGkhXWZGlmF
g^YgPk dgRXMVVVZLCSCk
$ ^eGFBqGFBJJ[`MHEPJ[
$ ^WdlUgnlcm
dg l`
V^q lcE^Mn
QgBZIMCSgXNY ^TJP
^TR\ mWl\gLCNhpJjjUU
^JVdd^Nhpak ^WlR\FrnerSCSCNWpd
dlVkJdbSgq dgKf`
lPNqaEnHhJ\ lRXmhgXJaYGNNAh
lXSgcEXeZB[PJBJN`VXrPfZLfVZLCN dXN
d ^
qXkGXSpRhLnLBPO dqmjRl
^W^CEGF[JNS`NNS_NSJNSqkY lcEp
lmplOKeLfZLfZIMCN QlN
dGN QEgdInGhJrN
QlGkGR\ek YUoBgi
l^MCEPJBmWMHFKrPF[`aG lcE^Mh^NNSJC
d laP
^ lE^
QgQ^hcYBXSQb^J ^
lPS lmBSVVVVZLfVVVZL
$ YXG
lPSfZLgq d_h[jGbrm
lb\q lhlLmjaBBdU
^WlRYDkGhGk mg\lk
^SqneBVVZMfZLfZMCkGcEdXkGcElXJNCEZEMHVaeGaVXmInSB ^YlcBB
lmPhI^q^XkGR\FJgMZMf dgKf`BdeLOVZfVZMVVVV
lmpljQO`I^XSfZLfZI nhqnamCBgJMVVZLfVZIMfZ
l`TkFa lKS
$ lXeZqKqB^mCFK
lKcBBf\R dq
QbkJLg`FgJFmj ^WdlUgnl
lXSlcoBg dhgbk
Qb dG
d^NNE dgPNE
^TmBSRgApljOcE $
