25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
SOhRkc]`^P`^a`SJa`^LhhR \hRFkRpHGJ[PbeQ``
$ fc[LHa
JkGZOpaQ JkcQ\dVO[J[SJP`SJJ[^KTSDDehk
[Wo_OUpH\Q \QXNOP_X
SDk[\RkRNTO]` JkRNNc]`
fYOUVOGPPbMghbR` [hR``
iN\HHJSOHH\HT\h FJJSe
S[LbQkRNN]kG [RkcUpH\UP
[RkcQRPP[im UGi
SJJFJ\QRWc]`SJLhLoFkpLhPgb JknSJKTUNTDkRX\LPg
FgN\UNX [FRTb_k
fpKTUGP[ o\UGXPMe[ic[
If SO]`^P`^LUNN
SedNlZlZTe cSDe
UWjRPic[Xke[ZTTDDedV [Lgi]
Jkn^a`^L]`^P`^LhF]O]`SJP`^KTf FJ\H\hRk
$ \[Pd^EKN
\HHJ\UWc]` Aaq
SOQ Xm
$ fR
\[ ACP`^KIAa`^a`^
UWKhRobG okn^a`^P`SJLhhR``]]
\QRVDOUGic UGXk
FJ\]^ AKTJkp
JkpP`^a`^fTUWKPbibjgPTPTPT SDehkLgikFjg
fRVr fpLhd
enSJP \hdWnSW`SJa`^a
fGXkq[aik gXk
SDklmWmmm FJSklWqmWWWWmmWWW
[FR [LP`
fRPic[P[a FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[a
iN\HHJSOHH\HT\hS FJJSeS
\[LKUNTeF]k \UX
\HhPloR`obGol SePlGob
[LHgPTPTPTPT[ [g\g[
fRPic[P[ai FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai
ALHHJ JkpT
\HhPloR`obGol [W
SDkRWpL]`^ ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^
FNJiPlfRob [RkchPl
J]eb \QRVDDDDO[a`SJLHT\[a`SJLHTJfK
UVOUPZlZNYe Fk
f S
[LPYEj SWWiP\Ej
AP`qaT AKTFNJFJ\[
UVDDDDkRWnSW`SW`^LUP \WGYDDOQnXXRP
JUhk Up
FJ\hLo_Pe UX\
JkYkT fmkT
FJ\] AJ[
fR $
FNJS FJJSXD
[hR]Tb_DkTS`DTrDTSDElW [h_DDDDklW
g $
fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[i JkRGi
fK JkR
UPic[ae[ZlZTDeLbR```o P
UkNa`^ \UNTDDO[P`SW`^
$ \Q
FNJJkcQX pL
U`VDDDkXGPEP[c[ZTe] UX\P
FJ\]^a`^ JkpKTJkc]`^
\TJFNJAL[ SO[LHHJSO]`SW`^
FJUDVk\Y fK
P`^KT [FFkRpHJ
fY SkRVeWGobV__S]SnSFo]B
SeRkGaq[iPEc[aq[ JkcHHJFN\QAGP[
UVOom[`^Kn SO[K
UNliP rZliPE
SO]`^P`^LU UNNYa
UNNYDDeW hSDeF_eq
[LQ fpP`^K
[hkh FN\UNTebo
JkVDeRkRNN \U
UNNGic[ZTDOU UGPW
S[LbQkRNN]kG [RkcUpH\UP
AKTSO]`^P`^KTfn^KTFNJFN\HTJfGae[iPEP U]Ric[aikq[ae[Zlic[aq[P[i
\UWpKTSkXVkTrDE\W \UU]ePl
fc]`SJP`^P fpL[a`^P`SJa`SW`^M`^a
fKWojgPTPTPTPT[\IdPTP APSW`^KT[LHg[\gPTP
fRpTJWWokPloR`q```T_YEjgm UVOhLh
Q\]` JkKSrhgiFknSW`
SDklmWmmm FJSklWqmWWWWmmWWW
fc]`^L $
fGZT\edVUUbPG ALHTJfRGae[
fnS FD\[`^aTS
FN J
\]`KW`^L]`SJLUWYedVDeS\EjLejeEjr [LgikPb\jr
\UU]e FJJfYDOh
SDOQXUQp Up
Sk\LgIDTPTPTPT[\Z\RT fKPbi
AP`^LP[LHVHJ FN\[P`^LhPlibFkRGic[P[Xkq[aike[ZNKhkhFkc
AJ[^P`^ Y\HHJA
AP`JeTfGZlZTOI FNJA
fRNNRVe VOh
FJ\UWRXXGXke[ZXRWpKTSePleMob SmDe_eLHW\FkKRkUdVceW
F \HaHaHH\]`SLHH\[J[^KO
fRVr Jk
[dKeRkK JkcQ\dVO[J[SJP`SJJ[^KTSDDe
Se FJ\hLo_Pe
Uh SOh
JkGXkq AKTfYQkRGXk]e
\UNX JkcUPXke[ZTOhFkh]jDk
N[ SDk\
S _
FN\UWpKT [FjW\]
A AP`SW`SVJP`^
\]`^P AL[KTUpHJSJ\[a
[ \
ALhdX\dNCZ \UWc]`SW`^KT[h]O[KTUN
\]`SJP`^K FL
[FkF_klWWm AKTdVDOUPZTklWmI
UXXGi ic[iPEPE
FJ\HahLbRFol \[a`^LhSQT
IJ J
U AKTf
f fRPZTeh]kXNTDePl
FVJFN\]`^J FJJAJ
fYDedpahrF fY
\HTJfn \]X^a`SE`
SeLPq JkRpH\hFkS
AKT CNJpV[Tn
\Q\F_OhS\E UXkRGic[Xkike[ZOX\hjIOT[iRolMYE
[g\g [LHgPTPTPTPT
fg_n^ fpP`^a`^L]`SJ
UGZNchWG`````oloR]Tod_eFR`` [hkhR]`
Q\]` Aa`
AP`S UpHUpacUpTJ[J[S
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR`` fKhkPbeQ`]
JkYDk\Sgmjqq [SHgjEq
Aa`SW JQkpP
$ JkKRkn^LQ
UGJaq[P[ZOGa_ fRGXke[Xk_
UPnX UWpLHTJfGXke[P[ZOGX
fRPic[P FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq
f FJJXXpHJFJ\HHJf
SOQT JkGP[ZXTT
\hdN [dPfZlNXkikq[aik_ke[Z
\HTJfnS \]X^a`SE`S
SDkXNXXp H`]`^iT\
UpahFF UNTk
[Wr_] fcUNXUpakhhRobV_SY
SDDOHTJfKLo_eh]OHHJNJJFJJ\QXGP \]`^P`^a`SW`^LUPaq
UGPW fc[LU
[W\jeEjQ`]]`] UWpGhhR`]]
FN fYOWT
FJJSeS iN\HHJSOHH\HT\hS
JkRpTJ \[a`^a`^LUnSJLUpaHaHTJ
SOhW hSDeF_eq
FN\QlmWmm FJSklWqmWWWWmmWWWmWm
FJGae[Xkq[aeP[aikq[P[P[ \hdPP[aikq[P[aikq[
fGiPEc[aq[X FJQjPXke[Xkq[Xi
q Jkc
\hSQ]]T fKUh
URXFk] UpTJUWGP[Xkq[Xkike[Xkq
J[SJP`SJa`SW`^a`SJa \]`SW
UVeFFknSJa`SW`SJ fnSW`^KAaM`SU
AJ LAL[J
IQKT ALQXpHJFJJ
Se FJ\hLo_Pe
fGZNRWpKT\hh]kRWpa` SOH\J`SAP`
Aa`SW` AIP`SW`a`
UPP qSkRGiPEPEPEc
XdpVh AKT[
UNNlP[X UNlP[aikq[ZTDkXGX
fKh $
S [lb_D
ij \H
LAL[J[ Aa`SW`
S SeS
fKF]OHTJ lU
SDk \QXNOP_X
IJ J
JkYkXXTVlEDERpaHT\H Aa`^LH
m\hi SOh
fnGSJP`SJKT\]`^J AP`SJJ
FN\QXVDeW \QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYDeW
Jkn^a`^L]`^P`^LhF]O]`SJP`^KTfGa NX\RkRPXk
J[SJP`SJa`SW`^a`SJa \]`SW
FJJSeS iN\HHJSOHH\HT\hS
JkGX jUGAic[X
JkpJ[S UX\SrQTgQikdNTOHa[P`SJP`S
FD\[`^aT fn
\]`SW` J[SJP`SJa`SW`^a`SJa`
SO]`SW` MVO]`SJFBP`
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``T fKhkPbeQ`]T
JFNl[a`^J[^P`^KT $
AL A
$ \[a`SJ
SWWiP\E [LPYE
FN\H $
AP FNJfKhFkRKFkn[SW`^P
UPe[e[ic JkYkTrDEXXRGP[P
UGPW UGZlic[iPEc[iPEc[ZOW
JKrkH S
[d Ua
fYOhPZb \[KTSehkW
Aa`^ SDDO]`^L]`^TL]hSJ
[dPfZlNXkikq[aik_ke[Z \hdN
fpKTSedpa[a`P Aa
UVO[LhS a^ag^hSeEj
[U \U
fpLQ\SQ`o [SQ]iob
FJ]o\Q^T \UVDO[LHTJfRXTSDTVkDT
FJ\Ne \
fGP[ZlP[P[iPEPEc[ae[ic[Xkq[i ic[iPE
UNN J\jU
eAJ[^LhR J
Sk\F]edN \[KTGXkq[iOc[PLZ
\ \TJFNJAL
\hSeEjr [dVk\AlQTdPg
JknS fYOHJ]`jS
[F UpH\Ha]`^LHPHJ\hh
SeF]O\Lbjg[iR``Tr JkYeSYEjYEjr
[RkcHTJSOHT\QXXlmmW JkcQRkRPZTklOmm
JkKT $
SDOHH\UNNpa`SW` ]Lca
\[J[^KT\UGi SUPn
[dPXkq[ZTeWGol [Sb
$ \TJ
FN\HHJUVkTrDERpHJF P`^KTFJJAa`SYW`^KT[Rkn^VKTFJ\hd
fc[KTSOhLb_O[a`SW`SJKTAP`^KTfRGZMP[ZlXke[aRkq[ic[ZNKLb_eP UXXVOhFRo
ALUiPP[ae[P[ZNKh]ehR] SeWG``
FJRHT\[L[K JkGZNn^K
UWVqDCk ALQ
UWn^P`SJLhhkWr_]S fcUNXUpakhhRobV_SY
ALQ\LIDPT[i_O[KT\hF_klmmWm UXl
JkGaq[Xke[P[P[ JkGZOXPP[
UWYehFkYOQ bDDkM
SkRVeWGobV__S]SnSFo]BeRk fYeRk
JkGic[Xkikq[Xkike[ fKdNNpKT\HTJFNYJUG
FJJSQRPae[Xk UWGXk
fG UGP[Xke[iPEP
AJ[^P`^ Y\HHJA
JknSJJ[SW`^KTSD \[KTSQDD
fnGSJP`SJKT\]`^J[SW UNOpaHHJ\Ha[P`^P
\`TrD UNXXWcQTVkD
FN\h f
[ [RSkpKT[
JkRVO]`^LUNNn^ SDOH
`UpHJfRX f
SDO]`^L]`SW [P`^P
$ \UpahhjW\jIdPT[\IDTPT[\g[i_DO
AL]`SB`J Upa[
Jk FqLfKTJRW
m\hiW SeW
fGP[aq[P[ \]f`SJP`^a`^LHUJUP
SeFRo [jPlp`]o
\hPb W
nfRTPSe[ZTklem JkYklWWWmWmW
f S
S ScDePlV_F_S]FeM]olib_
JkYkT SkTrDVlD
JkR ALHa]`SJaa`SJKTSO[LQX
FNJ\QXTrDEXmD [h]OQ
\UNNGaikq[ZlXke[Xkq[Z ]d
[P`^P`S SDO]`^L]`SW`S
fKh $
SeLHgPT[i SDOQ\RkYOhMF
A AP`SW`SVJP`^
fch FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRkK
fGZX bDDkM
AaSJP`SW`SW`^P`SeW`^KT[dGP[Xke[ZOGaea[ fn^KT\UPaike[P[
Jkpa`LhLhj [Plr_nF\jgmjqq
UPP[ZlXkike[P[Xkq[ZXTVlDTrD ep`aSQTrDgVkD
UW cJF
OFW\Y]n^KTSk Sk
JkGae[ic[ZO UTPZXWcU
\[P`JKfUWokhk \h
[FjIDT[\gPTPTPTPTP APSW`^KT[LHg[\gPTP
\UVDO[LHTJfRXTSDTVkDT FJ]o\Q^T
SeEjQTH[\IOT[ijZ\FknSJKT\g`SJ SOHT\[a`^
UX\h_k\dNl FAQ
fRkXV]`S [h_eSrhPQTHg[\gPTPT[\W\]OHHJAP`S
[FjIOT[\IdPT[\gPT[i]D lSkRpT\[KTfY
fYk\SghoDkdVe JkYOUWK
\hhR]obQMeEnjYEGYEj\EjTE fKh_DkXpHJFJJUX\SeE
[S\Ejg [SrP
UNXXWcQTVk \`Tr
\]`KW`^L]`SJLUWYedVDeS\EjLejeEjr \hSYEj\EjeEjg
JJAKTAVEhS\j [S
J a
AJ[SJKTSk[XGP UPic[P
JknS fYOHJ]`jS
FNJFJJSDOHHJSOHT\]`SW`SW` Fn
fGZNRWpKT\hh]kRWpa SOH\J`SAP
JkYDkXVeSr Jkc]`^L]`P`SJKTJkYDDeWeQoboRTbjW\kSeEj[
UGic[ AKTSNRlRPP[
UGP[ai UrX
fKdpT\ A`W`^KTfRpja
qSkRGiPEPE AKTFNJJkGi
AKTfHRPP[lZ AL[a`^KTFJJ\hdGP[Z
[lb_D S
\hFjW\lVDL \hWo_O]`^LhL
SedVkXr [dpHJ\QR
AKTJkTnSJa`SW`^TAK Aa`^K
\hSeEjr [dVk\AlQTdPg
IJkp Jkp
fpa`^KeSFjj SDDk\Plg_]G_FeQ]TPghg
AK AP`SW`SVJP`^K
SOUbH UpaHT
fK UKGaq[P[ZOXRXXVeh]e
Jkchh]eRk \UNNKTf
UNlP[P SpUWGZXXXRGZlP[P[Xkq[XkNke
JkR [dG
UPq[P[ UP
fYOUVOGPPbMghbR` FJJFN\UPP[aq[P[ae[ZTDO[a`SW`^LQRGP[Xkike[P[ZTOUNNYDeRkKF]DeWeQ
\fIl SOQlW
OD fRV
[Sr JJAKTAVEhS\jr
ALhRkpa`^L fP`SN`SJKT\
SOUbH UpaHT
fG jUGA
UG SOUbWRWRP
UhPb SOhPb
FVJFN\] Aa
]fYeLf]TP\EQ]Tg\IdL\Id[ UXRpT\hdGXke[ZTeSQTg
JkKp SDkRWYe
\hFjW\lVD JkRWYDDe
[h_DDDDkl [hR]Tb_DkTS`DTrDTSDEl
[Fm JkKFR
FJJAKTSeF]eLbkh]OH ^UeXp
SO[J[SW`SJa`SW`SW`^KTFJJJkTRNO JkcU
UPp[ic[aq[Xkq^[XkqZ UN
SQ`oljU SeSr
n\[OVT FNJ
FJJAKTFNJJkRGP[P[P[ [dPpl
\g`hJa fpP`SW`SW`SW
UPic[Zlae AaF^a`dKTSedPP[oXkiq
Sq [
UNXXWcQTVk \`Tr
[F S[Rkc[KTJkKdVeh
\UGXk f
FJ NgDT
JkcUGXkikq[P[Zlic[P[ZOVOQ\FjW\_klWmmWmmW \kYklWW
SeS SDeSghP\Sj
\HH\ZKTTJkSRVlm SklWW
SOUbH FN
fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[ZGP FJJfGP
\QlmmmWmWW fGXleWam
[RkpL` Jkc]`^L
[akGZlXkkike[a_ FN\hWK
JkYeRkYOUNOXVhkSeEjr FN\hWiP\Ejg
[S\ UVDDeLHWUEkSeEje
fKW W
\[a`^LHTJ\Ql Skl[GWWWm
JkGaq[P[Xkhq[Xke[c[aikq[ UP
\D` JkYDO]`
J fYO
FN\[CT FJJAa
FN\HT\UVDe FNJfRpHFfIQYe
[hR`` fYOUVOGPPbMghbR`
V[ SDeS\EjQTbjZ\k
\hSQTHgPTPTPTPT[\gPT[\Z\F UpWNT
Sp fRWY
UTPZXWc \
fKAbMr SOUWc]`^LhSg
AKTfYeSQ`]ToRTbjIOTPT[i oFJ^K\hHgi[i
SSDD FJ\UVDO[a`SJL]`^P`SW`^KTAP`^KTJkGZNRWYD
UNli O]`DSW`P`^LQPiPE
U[pH\hWMehEjYEjQ`]]ob JkYDeW\jQ`T
I[dLP JkYDO[P`^KTfchRkKS
\]`^LUXX JkpdThDOQX
FNJ\]`mWY`S AL]`S
UNOPP[X YGJR
$ AJ[^KTFJJ[
SDOhS J]ebS
` $
UpTJfKhjIDTPT[ijId FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``THgPT
OFW\Y]n^KT $
FJJJkGXkike[ic[ UGj
[RkKdNOpT\UWYe JkKb
Y\HHJAJ Aa`^J
\[KTJkRWYDkRWKLb]eWeMTP \HHJS
fGic JkGic[P[ZlP[P[olP[P[Zlaq[Xkq
SkRP fBGa[
Skl[GWWW [RkYDOQlWmWW
AP`^ [L[
Se`dWRVOCQ\Wo_SG [LhjqqA
UXRNTOhF LHJkUKh
FJ\U $
\UWc]`SW`^KT[h]O[KTU SSO]`^LPR
JknSJKTUNTDkRX\LPgmj fRpTJWWokPloR`q```T_YEjgmj
GqfK JkY
URXFk][ [hRTb_DOHTJALUpTJAa`SW`^KTfGXke[
AKTJkRX\L ASOHaHHJ[LHIDTPT[iRT
SeRkn^P`^LhF] FNJ^F_
MVO]`SJFBP JkcHHJ\]
AP`^P fc]`[P
FFkRpa]` Aa`
AL[KTUpHJSJ\[a \]`^P
\HaHaHH\]`SLHH\[J[^KO F
UNT FJJALRUpHJSOYKT[FkRV
\HaZTJFJJ AKT[h_OHT
JkpdThDOQ \]`^LUX
\]^KT[dpT\UNTh_DeSYEjQ``]obGolM\Ejr fKh_DkXpHJFJJUX\SeEjg
FNJ[d JkePlg_JnnFiHg[ijj\Fk
UVePlG]THW\khkL FN\QXVOhdVOMKTSeSYEjgh
fGE UGP[Xke[iPEPE
FJJUN [[h]
[LP` [FR
AHa]`SW`^LH AKTSkXP
FJ `
[Lg\W\R KhSQ
[h SOhLPeEjrhPeEjrhg\IdPTPPT[i
\UU]ePlK Jkn^P`^a`SJKT[PlKVVV
gJk f
UWn^a KD
SDOhRkn^a`^ f_IL
gJk f
[ JkGZOpaQ
FN\LHaQl JkYklWWWmWmWWm
UGP[ae[ZOPP[iPE] UGi
fKRkRp Aa`^qKTAL]`^K
Aa` ALa`
FJ\[a`SJa`^P`SW`^a`SW`^a`S JkS
UXXVOhFRo Aa``LhPlM
[LgikRkYeW\j\EjQol aFk_RT
fKdG SOUbWRWRP
jP [W
SehR]`]`] lSBEjQ
\ma AL
\QRV XDS
fRX \UPZ
fpa`^a`SW`SJLH kGZOWnSJKTAP`^P``^P`^K
\[KT[ \[P`JKfUWok
FJJKT\g`SJLHHHJfK JkYDDe
UPnXke UNOGae
fqUOd JkGaq[ZTOHa
q[P \hSQ]TPQo
[ FJ\Neh
UP JkGaq[P[Xkhq[Xke[c[aikq[
q \[KT\
AC fc[P
[FR]`U`]]TbjIOTPTPTmTPT[imj AP`^L]`SJLhh]eLH
\QlmmmWmWWm fGXleWamm
[hR]]TP\EjQ]THIOT[\gPT[iFkGiPEPEc[ UGiPEc[Xke
JVQkKhkdXaS\E^ [hR]TokSeE
SpUWGZXXXRGZlP[P[Xkq[XkNke[ JkG
\UiP[P[ZNc[KT[Pl Sk\W
Fn^ \[P`SW`SW`^LUWnSW`SW`^a`SJa`SJ
SkXXTckD eTAfe
OFW\Y]n^KT $
fc[a`SW`SW`SJJ[^ UVkXVDehR`ibFkpP`^
$ W
\[J[SW` AKTJkpLQ\PbcToFkRO]`SoW`
\hhFkKSg JkYeRkYOUNOXVhkSeEjr
[FjIDT[\gPTPTPT APSW`^KT[LHg[\g
\H \PFkk\EojrhH\_UXp
JkKpd SDkRWYed
\[a`^a`^LUnSJLUpaHaHTJJ J
Fn \[a`
[WoR [Fm
fpP` a`SW`SW`
JkRR ALUGic[
SeP WfH\
fGZGaq[ UGXkq[P[P[P[
UPic[ \QXGi[Xkq[D
FVJFN\]`^ SO]`^P`^
SDehFkG o[
\HaHa[P`SW` \]`^GP`SW`
fcQXVO]^^OhWeQ]d \hP
fRka fRW
UNXXWcQTVk \`Tr
FJJUpahF]OHahh \hRkNWG`oliHgPTPTPTPT[i
L $
Jkpa`LhL UWRPae[ZOPP[aq[ZNKL
UWpGhhR`]]` SePbr_FoR
FNJ n\[OVT
UGP[Xke[iPEPEP RUGae[iP
FNJfKhFkRKFkn[SW`^P`^J [dNTeRknSJJ
[RSkpKT[ [
[h]e VOh
\hhR]obQMeEnjYEGYEj\EjT fKh_DkXpHJFJJUX\Se
UXlW fGXleWammWmW
Aa`SW`SJP`^ AUTFJJA
[FFkRpHJF P`^KTF
UGae[iP JGjP[aikq[iP
APSW`^KT[LHg[\gPTP fKWojgPTPTPTPT[\IdPTP
AKTJk oKKTJL
fc]`^L]` Oa`
fpa`^J[^ fpKTSedpa[a`
AnHJfnS] Aa
JknSJKTUNTDkRX\LP fRpTJWWokPloR`q```T_YEj
fKP U[pH\hWMehEjYEjQ`]]o
JPk`Y S
\VP`^WKTA` Upa[J
Jkn fYOHJ]`j
fYedNTkXNlaq EfYk\dGXkq[q[aqc`
\UGHke[keZNKL JkKLoRT
fc L\
fKdNNpKT\HTJFNYJU FJJSed
FN\[L]`SW`SJLHTUV \HHJJkY
UPZ U
Upa[KTSDeRkchh_eF]k\ $
\HH\ZKTTJkSRVl fYklmmmm
JkRVO]`^LUNNn^a UVkXVDehR`ibFkpP`^P
[LPgm JJAKTAVEhS\jrm
n^LQXVO Jkc
[Srh [SQ`[T
AP`^PO`SW`SW`^ ALUGZTO[
[h]OQ fRPaqP[ZX
^MNQV AP`SW`^a`SJKTSkT
UNNYDDeW hSDeF_eq
UWYeFjIDT[ikFkh FJJUpahhkWiHg[\g[V
fGZNRWpP`SW`^P`S LAL[J[S
S f
[SQ`[ UXRpT\hdGXke[ZTeSQ
JkpdThDOQX \]`^LUXX
SDDO]`^L]`^TL]hS UVeFFknSJa`SW`S
fKhRo rrkRVeP
Upa]`^P`S [P`^P`S
FNJFJ \PFkk\EojrhH\_UXpH
f \UGHke[keZN
fKLPrhPe [Sejrd
[Rkc]`SW fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P
UWKSrhbR] Aa`^P`SW`^Jq[JLhGe
cfc[a`SJal`i[ AJ[SJa`^K
Sp fRWY
UWnS Jkp
\]`^KTUVeW Jkc[Lhh_ePbS
JkWMQobR`THg[S\IOTPT[ [SeEjghHgPT[\g[\gPT[
UXIVkXP JkGic[
FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRk [h_DkRW
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe AKT[
FJ\HH JkKTFJ
L\ fc
UGP[Xke[iPEPEP fGEP
JkGP[Xkq[P[ZlXke o\UGXPMe
ALQ\LIDPT[i_O[KT\hF_klmmWmW UXlW
FNJfKhFkRKFkn[SW`^P SOHT\]`^P`SJJ[^KTFN\]`SW`SJP
FN\UpT\UVDDeLHgPTPT[ [SQ`[Tg
\D`^J JknSJJ
hSDOQ UVDkTrDTrDE
J[SJP`SJa`SW`^a`SJa \]`SW
ALhF]DedPP[Xke[ZTkL UXRpT\hdGXke[ZTeSQT
OFN FJ
AJ[SJKTSk[XGP UPic[P
JkcHaHahRkYkT fRXTSDkgrDg
SO]`SW`^ MVO]`SJFBP`^
JkRR Jkn^a`^L]`^P`^LhF]O]`SJP`^KTfG
UWnSW`^QT fRXT
$ JkGZOVk
[LIOrTPTPTPTPT[\IDT[ AKTSk\Wig
UPP[aike[aq[iPE fGm[iPEPE
JknSJKTUNTDkRX\LP fRpTJWWokPloR`q```T_YEj
FJJ AP`^a`SJP^KT
fpa`^KTJkKWG]]Tg\g[\IDTPTPT[iR]``` oGP[ZNYehOR`]]
FN\]`SW`^P`SW`SW`SJa` a`SW`
SDedPiP RUGae[iPEP
fRkXV] UVeFFknSJa`SW
[RkcQRPP[imc fGP[aq
\WYklmmmX \[KTfcUXl
\]`^KTfGiPEc[P Uqicn]
XX Jkc
\[a`^LQX FJkHHJUN
hjID[\rZ fYOhW
LAL[J AJ
FJJf fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[Z
SOhLPeEjrhPeEjrhg\IdPTPPT[iFk [hFk
SO[P`SW fc]`[P
JkcQRkRPZTklOmm [RkcHTJSOHT\QXXlmmW
JkGae[ic[Xke[ \QRpa]`^LUGe[
FN\QXVOhdVOMKTSeSYEj [SeEjeEjYEjeEj
X\P UWKWeQo
UpTJUWGP[Xkq[Xkike[Xkq[iP fGm[iPEPEP
oFJ^K\hHgi[i AKTfYeSQ`]ToRTbjIOTPT[i
UPPi[ZgIWn fRWnS
FNJG UPaikq[ZlP[Xke[iPEc[aikq[ic[iPEc[Zl
fpP`^K [LQ
\[J[SW AKTJkpLQ\PbcToFkRO]`SoW
]Lca UWcHH\]`
rYe fYe
\hFjW\lVD UGP[ZTOh
FJJFN\UPP[aq[P[ae[ZTDO[a`SW`^LQRGP[Xkike[P[ZTOUNNYDeRkKF]DeWeQT fYOUVOGPPbMghbR`T
QL[ UpHJAJ[SW`^a`^
[RkpL]`^LhLo_OhLoRobg_nn [h]ehkFRolaG``]```]olV_]
\]`SJP`SW`SJP`SW`^P JZhk_pP
jfrpY SD
\[P`JKfUWokh \[KT[h
[SeE FJnJSeh_eLP_E
eJkpaLBT FN\HHJUVkTrDERpHJ
JficZ \hdP
\QlWmmmWDmmWW FN\Ql
FJJAP`^J[^KT AUTFJJ
AP`^KT FNJE
FN\[P` SeRkGaqj[ZNn
J [FjICYT[VF
fYOhWGo[leM]h fYOUpT\hPlMYEjrm
O]`DSW`P`^LQPiPEc[aik JkRpTJJkGa
H`]`^iT\ UVDedp
fK $
k f
JkYkRNTOhhk FFN\h
FNJfKhFkRKFkn[SW`^P` SOHT\]`^P`SJJ[^KTFN\]`SW`SJP`
frKPb FJ\[LhPb
\]`^GP`SW UWn^a
S AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDD
JkRNNc]` SDk[\RkRNTO]`
fRpTJWWokPloR`q```T_YEj JknSJKTUNTDkRX\LP
Bho AK
`UpHJfRXRX [dW
AJ[^KTFJJ[ [e
Skl[GWW UXlmm
SkRNX\dGXkike[ic[P[P[P[Z SedNR
SDkRGO SDkX
bDDkM UWYehFkYOQ
UN FgN\UN
ep J
\QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYDe FN\QXVDe
\D Aa`SW`SW`SW`SJa
[hjIPTPT[IOT[\IDT[\IDT[iRj]]`olg_S]Kokh_kXiNNKFR]`` fKRkYeWG]
fKSrhb_eW UXkRGic[Xkike[ZOX\hjIOT[iRol
\Q [lR
JkpdThDOQ \]`^LUX
O]`DSW`P`^LQPiPE UNli
Skl[GWW UXlmm
\h [dPZJNpLH
\hRkNWG`oliHgPTPTPTPT[i FJJUpahF]OHahh
JkVRNlZTOhhLRL] [PlG]
[Rkc]`SW` fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P`
UPXkq[Xke[ZT AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTD
fRpTJWWokPloR`q```T_YEj JkKLP
JkRVDeORTCg\W\_` UVDOQ
\UVDO[LHTJfRXTSDTVkDT FJ]o\Q^T
bDDkM FNJ\Q
ij \H
\`TrD UNXXWcQTVkD
[LHgPTPTPTPT [g\g
\ [
AP`SW`SVJP`^K AK
U c^i
$ `pT
PUOYRVDe UVePlG]THW\khk
i AKT
SO[aAH \hh_OQ\FFkn^a`^L[L[J[S
f JkpL[LaU
UXlmm Skl[GWW
\UNOWKP UWK
[FTH UPZTDehkL
fRPaqP[ZXT [h]OQT
JkGaq[P[oTeLP\EjYEjQ UPic[ae[ZlZTDeLbR``
a^ag^hSeEjY [SYEj\
[P UWK
FNJSehjgPTPTP [h]ehjIDTPE^
[hFk JZb
\hkh_ \[LhF]
[RkRPP[Xkike[aik_ UWG
FJ\UpTJFJJUNlae[ JficZP[
SOQlWmW \fIlmW
UGic[ [RkcQRPP[imc[
\[LKUNTeF]kl \UNXlm
fYOWT FN
UVeFFkpKTfK [U
fRpHJfKRk SFNJJk
ALa AP
JQkpP FJ\]
AP`SJP`^LUX\SYEjQob FN\hhhRM```Xb
AL]`SB` [Rkc]`SW`S
UVOQTSDE\Sr Sg
FNJUVehT]O SedNOGZOVO[LQ\
[jPlp`]o SeFRo
Q\] fKdPP[ZTOHa]
\ fn^KTFJl[KT\HTm\eJ
gXki UNlP[P[ic[ZlP[Xke[Xkq[Xke[Xki
\]`SW`^K J[SJP`SJa`SW`^a`SJa`^K
fGP[Xkq[aq[i Ri
SO L\
UpaHT\[a`^P`^KT l
\[P^LSJPS` Jkn^a`SW`SJKTUNNYDO]`SW`
AKTfYeSQ`]ToRTbjIOTPT[ oFJ^K\hHgi[
SeS\EjQ]] Sk\LgIDTPTPTPT[\Z\R
\hSQTHgPTPTPTPT[\gPT[\Z\Fk UpWNTk
$ FJ\
SDDeSQ [Fm
