38134
W[PZ ak[SZifiCBpHdgP
gDKck g]hiXDFD]fjKcWk
F X
AVWoW\VWpWoW\ AVW\Q
FJ]^Gd^Qj HPFq]j
Oh $
TTd gFDd
aGSpOKE l
O $
g HPF
HFDPG^ XE
l $
R[ lcmiBR`YOG
XGBWdX cmiBpiBHdYWF
ag bWSG^dT
WdRXO aG]O
eVWo heVWpWpW\VW\V
g[GBUPhRP fiBOjKbRP
gFGB MgFDpGISB
eVWoW\VW cSSSmieVWpWpW\VIWpW
eVWoWoWpWpWpWp akkBe
WPFq[dOd^ OdBSP
edmpWoW\ eVW\VWoW\
WFR HDKHR
gdT TT
RkBgFDPFq fiAfiBT
$ piBT
A TdWdAVWf\J
M $
T[G^ fiBg[[]hg
jD Hdf
pifbne iH
SDD g[PG^
g]hiXDFD]fjKcWk gDKck
$ piBaG]
pifrprbnWerprb R`ZGSlgdWfifb
Hd iBTiBf
fifrIKpS RRVRVoOkkfrp
XD bg[d`g[H
[d fiB
VGGGGP cSSVP````````````````
aip cSGm
fi G
cSV cSSmiBocSSVG
XoOkJ WFD[dR
fifrprbnebnebncWWWerpr TFD[dfif
a RLYO
gPUhWhLLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
iff pifbnWebHYbHY
aKEVk HdfiBRM
OR`D RRD
mV eVWoW\VW\VWo
RRlKTZOie AVWoWoX\cmV[C\
H]d^hg] TFGBTPG^dB]
X F
eVW\VW edmpW
AVW\VWo W[]ifiBeV
eVWoW\VW\VW eWoWI
XD RkBXGBHFGB
pi R`V[]OifiBfigBWFDdfi
fiBAVWW\oW eVWoW\VW
eVWpWpWpW AW
R`DbMS RR
aiOhk W[PFD[dR
fiBeVW\VWpW TdWdAVWf\JVW
XGfr_prbnWerprpH XGfrp
aWX WdH]hig
ffrp XGfrp
cmiBd^d^d^ TFDdH[PG^[]
O gLS]
HDKcWWWWW g]hiXDFD]fjKcWkkW
heVWpWpW\VW\VW eVW
pifrprir_prr_ TFGBXGfr_
SciS cS
a W
fiBOjK g[FGBpiBgPoK
fifrprbnebnebncWWWe pifbHY
fifcr fifr
TZIf_ HPZ_
pfiBAV fiBAV
fiBOjKbR g[GBUPhR
O $
Hdfi cMmi
T HcmB
gdXDFGBfiBXDDK eVW\VWH
e eVlWQ
fifbH W[dcmiBdWFGBW[FfbH
g[dfiBWdT fUBg[
g]hiXDFD]fjKcWkk gDKckk
fiBiBR[ R[
pfiBAV fiBAV
WFD]hKTl XaBa
fi fiBHiBTHLdgQ
XDO RRYOg
piBT]h EaIa
gnTG^P W[P
TdaCYOkRVoOKE $
$ WFD
fifbnebH XfPbH
XD Ydpig
H fiBRoO
fiB\O OhiOd^
HFGBfi fiU
W[D cmnABfiRBXDD
[d fiB
TFUDIPe H[D
TD[haa WdH[FD]jXaaa
XDdR XZDbbR
XGfbne cSSmiBif
iBg R[SYOi
pif XGfr_prr___
T]jRPffSSC Od^jRPfSSrfSC
HPGI TPGB
TFDdg fiH
cSV ^
$ fiT
T]jK XDMDK
HFLGfrprbYner__p RRlCTOkkfr_prr_p
g[dfiBWdT fUBg[
g[dHFGBAVWpWpWo pBTFGBAVW\VW\VW\V
aG]OgPZ aci]PZ^
TdXmifbne gdH[[PFqFGf
fiBcmi gXG
OhKEVk k
R`ZDOKqicSmiBp XGBf
IeVWpW AVW\VW
AVWp eVW\VQ
gFGBTFGBpifbnWWWWW H`GBfifr__prbn
f XDDKcWW
TFDdH[PG^[]hCp RDRIOKNp
cmifbnaYerm RkBpifr
pBTFGBAVW\VW\VW\VW eVWpW
pifb AVTpWXoGp
XGf f[jf
R`VkfZ_ XGfbnerprr___
XGBRk cMmi
HdcSS cdh
ADpc cSSSV
XDP HPq[[[o
ffr fifrprr
gdeVW\VW\VW mVWWoq
gLS]j TDKH
$ M
T $
pif GBRkBcmif
XDDFGJBg XDPG^
RoVQk fiB
g]hiXDFD]fjKcWk gDKck
gB]jKcWkkkkWkX gPG^DKckkkWWWW
AVW AVnWW
T[FD $
AVW\ eVWboWo_\VWoW\
XD[PPKc WDKkWkO[WW
aig]d^hKN RRqS
AVWpW eVW\VQW
WPG ]
R`ZGSlgdWfifbn R`pOipifbn
OI g]
IeVWpW AVW\VW
XD[]d^hF aXF
piBTdfifrprrprprrprrprbH T[[FGBfifbH
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
XZDbbR RoOk
Jf[ cSmiBcmi
T] HcmB]
R`YR aG]
XGfbne fifrIKpSr
cV cSSSVGU
aClOhpOg TFDdg
fiBAGC pi
H]hkkfr_pr fiB]pBHFGf]pr
heVWpWpW\VW\VW eVWoW
lSSH RoOCD
GoO Td
XWDB[P WdTP
Z R[SYOi
$ TdaCYOkRVoOKE
fiBRRYOkR W[PFD[dR`
g]hKE ZY
XDO RRYOg
o HFDdcSmiBRkBc
heVWpWpW\VW\VW eVW
fiBgfiM pifbnerprbnerprbHY
gPG^DKckkkWW WDKkWkO[
fi gXG
TFGBaG lcmiBR`YOG
eVWpW\V cSSSmieVWpWpW\VI
W _lX
cSmifrp ffrp
c`miBXDD XD[PP
TFDFQfbEnY XGfrprbnWe
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
RRp R`DbMSp
XDO[ RRYOg[
piBRkBWdg gFGBT[FT[[
egbDKc TDK
G]O fiBRRYO
pi X
]Rp RkBH]hKTVRT
A TdWdAVWf\J
$ Ohg
HDKH WF
cX cSmiBc
cSGm aip
gPG^DKckkkWW WDKkWkO[
aip Oh
cmifrQprr fifr
R`aOLq RR
W[DK cmnABfiRBXDDK
gdXDFGBfiBXDDK eVW\VWH
HFLDr $
H`GBfifr__prb fiBXGfb
TZIf_QA HFDPZ
fiBOhK mn
XGqfr__ fifr__prr
gDK MOjKY
XDdR`lg]d^jKH fiWBT_TH
K gFGBAVW\
TdWdAVWf\JVW AVW
eVWpWoW\VW\VW friAVWj
dW T
W[dcmiBdWFGBW[FfbH fifbH
fofr_U cmifrprr
TdcV W[
TP g[PU
WFDFD]jK eVW\VWH
eVWoWoW\VW\VW\ pfiBA
fiWBT_T XDdR`lg]d^jK
OKqlB aG]OF
fiTH]d gdOd
XGf f[jf
Ki TDR
AVW\VWpWo eWp`W\Vh
fiBAGC cSmi
N piB
Ydpig T
Wdgdfi XDF[Fc
RoOKNTOC aDGSYOkR
gXG fi
\Ng $
aKM RRD]O
H[] FJ]^Gd^Q
WdRX aG]
OhKEVk k
XDDFGJBg XDPG^
NWP_ W[PZ_
W[dW[[PP mXDPP
fiBgPUhWhLLWhLWhBWhWhWULW HPUhWhLLWhLWhLWhL
m AVWpW\
heVWpWpW\VW\ XDFD[dXGBT[dAVWoW\VWoW\
edmp eVW\V
AVWoWpW\ `Be
TdW]hG]Og[P gprP
g]hiXDFD]fjKcWk gDKck
n aCYO
WdRX RRp
cS TPFq\FGBc
cmnABfiRBXDD W[D
_kfbW HFGfbn
g Od
fiBXGf H`GBfifr__pr
ff XGf
[kmfrp XDFGfrprrprr_p
RRD XGBG
piOBnPZ_[] W[PZ_
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
i akk
gDKckkWW g]hiXDFD]fjKcWkkWW
g iBpiBpiBXD[
mUgWoW TDK
XGf f[jf
TP g[PU
p T[
HdArn\ R`
OKql OhK
XGfr_prbn HGfbBYin
fiBaG] WdRX
eVWpW\V cSSSmieVWpWpW\VI
fifFbHYbnWNe HFGBfif
mVWWoq eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW
f[j XG
oeXV AV
eVWp cSSSmieVWpWpW\VI
aGSpOKE l
aG] RGFDdWFDdaClko
[D piBaKNVRpOCVRpOk
piBHDXaaaaa TD[h
fiBaG]OiO fiTH]
Od^hi aiY
$ fiT
GBAW gPUhLWhW
XGfr_prpn XGfbn
XDDKc XGBXGBW[DKcWeg
RkBR[STO IOh
TFGBTPG^dB] T[dTdT]
gFSDP WP
fiBAVWoW cmiBAVkoWpW
Od piBH
eVWpWpW eWoWffoW\VrpW
piBcimPa cSSVP```````````````
TFDFQfbEnYr_ fifbnerprr__
H`GBfifr__prb fiBXGfb
WdpiBR WFGBrR
eVWboWo_\VW eVWoWpW
RR R`DbMS
AVWpW AVWoWoX\cmV[C
OhKTZ ]Rp
T]j XDMD
XDL fiBH
H[DKHK HFBpiBRlB
fiBWFGfrp fifFbHYbnWNerp
gPZIAIA TZIf
YdW[q TF
WFD]hKTl XaBa
AVZ eVWo
Od^CKNV`VZOiXBOd^j gD
edmpW eVW\VW
T[Wc XD[FDdH[
miBgFGBjW TdWPFqdg
gpr TFGBT
[kmfr pifbHYrprr__
OFGBdK^^d^d H]d
XGBOhGSDSCYOXEFGfb fifrprbH
TPUhLWhLWh PUhWhLLLLLWhWhLLF
XG XGq
f[ifbnebHYr_prr_ cmifbHYbner
gLS] Od^
ZAV eVWpW
TPPQKbK gDKHK
pifrprb TFGBOhkfbneb
AVWpW eVW\VQW
eWoWI eVWoW\VW\VW
XDKlg gDK
cjP cSVP`
cmiBd^d^d^h ak`TOKNpOKEE
RkBpifrprb f[jfr_prb
mXD W[dW[[
fif fiBAGCf
T]j XDMD
EgFrDdRkL gdcSSmifbnWerprbnWer_
AVW\VW IeVWpW
fifrprbnebnebncWWWe gFGf
g R`V[]OifiBfigBWFD
TFGBa lcmiBR`YO
aicSSSmiB d
g[FGfr fifr^_
OhKEV $
eVWboWo_\VW AVWpWpW\VW
W[PZI IPeZJIAlSf
Odj g]
H[dO D
HFDPP XgdTgFGBfLFM]j
H aKEX
OhiOd^ fiB\O
fi pifbHY
gdTd pi
fiBiBR[ R[
eVW\VQ eVWoWoWpWpWp
GoOg] H]
aClOhpOg g[
HPGK[ gD
KDV XGBak[
eWoWI eVWoW\VW\VW
cSmi f
TPFq\FGBc cS
pBTFGBAVW\VW\VW\VW eVWpW
OR[ZOnd gdTd
fifrprrprr_ HFLGfrprbYner__prr_
HFDPFq[[dT[PGj R_kCBXDFGDBa`Gj
ATMUDb TFDDK
OR[ZOn gdT
R`ZGSlgdWfif TdfifbHYr___prrpr
RR RDRIOKN
$ fiBXD[FG
cSSSV Oi
TPF Pr
cSSSSSmiHPT RkBcSmiBTP
fiBiBR[ R[
H]I XGBR`TOg]
T]hiQifbHY cmif
fiBRoOigPG \OUaL
iBpiBpiBXD[ g
eVWoWoW\VW\VW\VW pfiBAVW
fi pfi
XGBOd^ fiB\O
cV cSLVaG
c\ R[]Ok[SYOCVkBcS
fiBXGfbHYrprbn R`ZGSlgdWfifbn
TFGBpifr__prbnWebnWerprr_p fifcrp
fiBXGfbHYrprb R`ZGSlgdWfifb
fiBH $
eVWp MVWj\eV
XGfbn TDXfbn
cSSmiBocSSVGP``` cSVP```
Rkfbnerprrprrprr f[jfr_
XGqf fifbnerpr
eVWoWoW\VW\VW\V pfiBAV
WdRo RDRIOKNp
gnTG^ W[
eWoi fiBeVW\VWp
nRTOiUiBk cSSS
IeVWpW AVW\VW
R[]O fiR`fiR`IlKEV
H [
$ TdaCYOkRVoOKE
heVWpWpW\VW\ A
fifrprrpr mQrMrrQ__prrpC
k OhKEVk
XGfb W[[FDiFdffr__prL
c Sci
p R`V[]OifiBfigBWFDdf
$ Oh
AVWoWp cmiBAVko
piBfi HFj
W[FGBMV fiBRRYOk
Od g
cmiBd^d^d^h ak`TOKNpOKEE
eSWE piBAVW
f[ifbnebHYr_prr pifr
lcmiBR`YO TFGBa
XGBpi pW
pi ^cmB
Y $
TF GX
XG fiB
fiB]pBHFGf] H]hkkfr_
qpnQ cSm
gPUhL gHPUhLLWLLLmhWh^LWhWhWhLL
fifr_prr__ pif_
c Sci
GoOg H
T XDdXGBTPq
cSLVaG cV
aGSpOKE l
cqcV cSVGG
X cmi
Wda W\
cSS lTr
gdTdgFGBgFG Jf[
aKES akOKFZjGGGO
fifrIKpS cmifrprr_prrp
aGSl WPq^P
g]hiXDFD]fjKcWk gDKck
XDFD TFDFDDR
FJ]^Gd^Q XGBT]
eVWoW heVWpWpW\VW\VW
piBWFD[[PPK SPfK
$ WFD
T]jK XDMDK
fiBcV OhG
XDO[ RRYOg[
cSmi iZ
eVW\V XG_^BfiBAWo
fifbH TNFGfbnebN
AVWp eVW\VQ
fifbHYbn HFD]QjKckWWWk
cSVG TPFq\FGBcV
eVW\VWipW\ AVWpW\
fiB\O g[]
XDd XZDbb
eVlWQ e
^iq pi
WFGBrR RRV
g[] fiB\O
TdaCYOkRVoOKE R`lCl
fiBg[[]hg T[G^
chAmL cmi
ai rEhgd
XaBak WFD]hKTlk
cSLVaGG cVG
gdH[[PFqFGfr TdXmifbner
XDFDPUhLLWhLLWhWhLWhLLLLLLWhLWhL TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
H`GBfifr__prbnW pifbn
fifr fifr^_
cSmiB M
fiAfiB Wd
HPFqdRkBpi oR
cSmiBRkBOd bTOdY
Oj g[FGBpiBgPoKb
jD H]hKqicSm
RRlCTOkkfr_prr_ HFLGfrprbYner__
p XDD
eVWpW pBTFGBAVW\VW\VW\VW
g[FDFDFG HdfiBRMk
XDGK HPG
h RRpO
mVWWoq g[dAVW
fiBfiBT OT
pB gd
NWP_ WFGBfiBXDPZ_
piBg[ XDO[
fiBOj TDK
gFGfbH pifbJH
XG XGq
eVWpWpWp heVWpWpW\VW\VWo
cmiBe R[SpOC
WFD]hKTlk XaBak
piBTdfifrprrprprrprr fifr
_R` $
Od^jRPfSSrfS piBaGSVoOgdgFGBgDRPS
fiBg[[]hgPZ_ T[G^PZ_
cSm qpnQ
fiQbnWbWWnWW pifbnW
TdXmifbnerprbH WFGfrprrprbH
fiU fiBWFG
T]jKc HFD]QjKckWWW
WdR RGFDdWFDdaClk
VGGGG cVG
eVW\VWipW\VW XGBeVWpW
heVWpWpW\VW\ e
piBHDXaaaaaa WPVHXa
piBT lg[
Od^CKNV`VZOiXBOd^j gD
piBA RkBXD]hk`
eVWpWpW g[]d^hk[SlkkBeVWpWpWoE
RkBHD K
XD]hkR R[
XDMDKc T]jKc
$ l
GBX HdaC
XGfb fiXBfKiBXDD[X
p R[SYO
eVWpWpWp YV
fiBg[[]hgPZ T[G^PZ
gprPU gPUhWhLLWhLW
T]jKc HFD]QjKckWWW
WPVH g[[D
fiBA pfiBA
fifrIKpSrr_pr Rkf
Od^hF R[SKOcF
c\S R[]Ok[SYOCVkBcSS
$ T[
R`ZGSlgdWfi WFG
H fiTH
gDK HFBpiBRlB
TFDFD[PU GBAW
g iBpiBpiBXD[
TYac cSS
GBRkBcm f
RTaO fiBcmiBRR
AV TFGB
cmiBAVko AVWoWp
g $
W[D cmnABfiRBXDD
cSmiBO FJ]^Gd^Q
H`GBfifr__prbn gFGBTFGBpifbnWWWWW
fi G
Od^jXaaa fiBiOTaa
IeVWpWo AVW\VWo
$ TPF
pfi fi
TDKbR XDDRPfCq
W[PFD[dR aiOhk
AVW\ jR\cMb
ii_DdA A
R R`Z
cmiBpiBHdY piB
TFGBTPG^dB fiBg[FGBH
HdgP D
RR OR`
cj cSV
WDKkWkO[ gPG^DKckkkWW
aL] g]
CDdR piBak`TOCDSV
AVWoWoX\cmV[C\ eVWoW\VW\VWoW\
W[]ifiBeVWpW eVW\VW
NWP WFGBfiBXDPZ
dfiXr_prrD_ cSSSmifr___
gDKckkkk H[FK`cbf
M piBa
YfiBfi cmi
AVWoW eVW\VWi
fiBAVW pfiBAVW
gDKck g]hiXDFD]fjKcWk
piBH Od
$ g[PGjc
g]d^jK g[FGBpiBgPoK
W[PZIA lFDoZ
pifrprbnWerprbn R`ZGSlgdWfifbn
XD]hk mkm
^V gFGf
WFGBfiBXDPZ ak[SZifiCBpHdgP
Ofhk` OhG]
fiBW I
WFGBrR RRV
MgFDpGIS gFG
n aCYO
HDKH WF
HFjf cmifr_prrprrpr
XDFGBIgD TFDFDD
TD piBIl[
aC T]h
AW AVW\VWoW
OhCYO aX
R`ZDOKqicSmiBp XGBf
cS SciS
Cd\ c
cSLVaG cV
mkm XD]hk
gFSD W
HDKcWWWWWW XDPKck
T[d eZV
AVW\V IeVWp
eVWoWoWp piBAVW
eVWpWoW\VW eVW\VWipW
agP^PUoL gFGBTPUhLL
gXG fiBcmi
g[]d^hk[SlkkBeVWpWpWoEpW AVWoW
XDdgPZ_ PQ_D
g[GBUPhRP fiBOjKbRP
eVWoW\VWo AVZ
cSSV VGGG
fiB]pBHFGf]pr HFGfr_pr
eVWoWoW\VW\VW\VW pfiBAVW
cV VGGG
XGBOd^ fiB\O
AV eVlWQV
fifrIKpSr XGfbne
R[SZ [D
cSVP cSSmiBocSSVGP
BVG cSV
Wd eT
fiBaG]OiOd H]\
eVWBVWoQWo AV
XGfr_ WFUGfrQh
iBTdfBVL AVWp
W[dcmiBdWFGBW[F fi
W[[[PFq XE
PUhWhLLLLLWhWhLLF fiBgPUhLLWhWhLLLLWhWhWhLLLLLLL
fiBTd GBTd
RRp R
m AVWpW\
eVWoWoW\VW\VW\VW pfiBAVW
cVGG W
dW H
TFDdH[PG^[]h cmiBd^d^d^h
R ]
Wd eT
W[]ifiBeVW AVW\VWoW
f XDFGBcmiBpiBWFG
cmUKHYbnWerprr\prl pifbnebne
TFDFGBgFqdT g
fifr___pr HFjf
T[FDFG XVDdjgF
p ei
fiB]pBHFGf] HdXGfr
pifbnerp fifrIKpSrr_p
WdXDFGfb XGfr_prbnWerprpHrb
T]d^hiXGBHPUhL gHPUhLLWLLLmhWh^LWhWhWh
$ fiBiB
fi GBRkBcmi
CDdR piBak`TOCDSV
WdW] cXo
Y $
RRlCYOK $
cSmi HFj
g iBpiBpiBXD[
piBfiBfifbH XGfr_prbnWerprpHrbH
$ m
HFLGfrprbYner__p RRlCTOkkfr_prr_p
OR[ZOnd gdTd
eVWoW\ oeX
f[ifbnebHYr_prr pifr_
cSm qpnQ
]R RR
TFGBa lcmiBR`YO
W]j fiBOjH
] R
piBpiBa D]jRPfpPSSSf
W gFSD
eVW\VWipW\V AVW\V
AV cmiBAVkoWp
gFSDP WP
fiBfiB O
XDKlg gDK
pO] piBaiOh
fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLW PUhWhLLLLLWhWhLLFW
N piB
TFGBfiBpifb HGfbBYi
TFGBa lcmiBR`YO
eVWoWoW eSWE
i $
cmiBfi VFBRk
eVWoWo heVWpWpW\VW\VWo
W[ cmnABfiRBXD
XGBaiXDFD]hg[D SPf
heVWpWpW\VW\ A
AVW\VWpWo eWp`W\Vh
[kNKbK XDDK
k OhKEVk
TLmir cmifr___
k OhKEVk
H[FDFDFGB eZV
fifbnerprb d
g TFGBTPG^dB
[dHD TD
cSLVaG cV
fiQbnWbWWnWWe fiBgPG^FGf
fofr_U_prb XGfb
cSGm RRpOip
fifr_ WFGfWr
gPFqDR Od^jRPfSSrfSCp
H]d^ OdBSP
piBRkBWdg gFGBT[FT[[
fB $
RRpOip cSGm
ffH pifb
T[dXG p[W
H] GoOg]
cSSSmieVWpWpW\VI eVWpW\V
piBA RkBXD]hk`
a RG
eWoi fiBeVW\VWp
g[GBUPhRP OjRPSSf
XDDKc H[FK`cbf
gDKck g]hiXDFD]fjKcWk
cSSm UP
cmi fiBAGC
WRQOTKT gDKH
p $
eWoWffoW\Vrp AVW\V
HPZ T[G^PZ
cQ HFDPZZ
piBTdfifrprrprprrprrprb piBTFGfb
cmifrprr_prrp fifrIKpS
Z[PGM^D g]j
pfi fi
cSSSSSmiHPT WdH]higP
$ HdT]
$ Tdcm
eVWoWoWpWpWpWpWp AVKoWpW\gV
TPUhLL PUhWhLLLLLWhWhLLFWh
XZDbbR RoOk
XDdgPZ gnTG^PZ
aKES akOKFZjGGGO
fiBRRY G]
fiBRRYO G]O
XGBfifObmner XGfr__
cmnABfiRBXDDK W[DK
T[PGB HPGI
eWp`W\Vh AVW\VWpWo
Pr RoOigPF
fiBiOTaa WFD]jX
eVWoWo meV
R`ZGSlgdWfifb TdfifbHYr___prrprb
RkBXD]hk` piBA
T]jRPffSS Od^jRPfSSrfS
ak piHbRX
Od^hk`YO DPhDMOV
TdXmifbnerp gdH[[PFqFGfrp
piBaF R`V[]OKBI
XD[DK [FDKHCK
fiBiOTaa TDXaaaa
O $
R[SKOcF aiak[]OF
fiBeVW aKEq
TJ W[dRkBOd^hiWP
Ea piBH[]h
$ W]hg[[FD
XDdgPZ_ NWP_
cSmiBc [BB
AVW\ eVWboWo_\VWoW\
gD Od^CKNV`VZOiXBOd^j
XGBXGBW[DKcWeg XDDKc
gdXDFGBfiBXDDK eVW\VWH
piBWFD[[PPK ATMUDb
agP^PUo HPUhL
$ Y
T $
pifrpr TFGBOhkfbne
] cSmiBT]d^
AFXGB gPG
ai rEhgd
XDdgPZ_Q pGPil[eVWopW
XGB `B
c WFGB
PQ_DQ W[PZ_Q
R[ aC
qpnQ cSm
XGfr___p HFjfrp
ng aCYOg
WFGfrpr TdXmifbne
G]O fiBRRYO
XDGKB HPGB
g[FGBpiBgPo fiBOj
g[] OddO
eWoWffoW\Vrp eVW\VWpW\V
AVWoWpW eVW\VWipW
RkP gd
R`ZGSlgdWfifb R`pOipifb
AVWoWpWoWoWpW\V cSSSmieVWpWpW\VIWp
pif f[ifbnebHYr_pr
cdhV cVGGGG
aig]d^hK R[[
HPGB XDGKB
g]d^hiWFDPG^ XDL
kdi^ aKEVkk
p[W XDdpi
fifrIKpS RRVRVoOkkfrp
fiBiBR[ R[
` RoOK
eVW bTOdY^j
TZIf gPZIAIA
cmiBAVkoW piBAVW
g[]d^ aL]
gHPUhLLWLLLmhWh^LWhWhWhLLWh TPUhLWhLWhWhL
Od piBH
pifbHYrprr_ fofr_U
ak piHbRX
R_kCBXDFGDBa` TP
GBA WPUhLL
A heVWpWpW\VW\
cSSEifr_prbHYr_Vp agdfifbnWebHYbner__p
pifrprr Mpif[
cmiBg[[ kBT
HPq[[[o WFD[PG^P
piBg XDO
eVWpWpW\VWpWoWpW\VWoWpWoWoWpWpW\VWoWoW mVWWoq
XG TDX
XcESSSS cmiBpiBTdg
XGBf R`ZDOKqicSmiBp
eWoWIo AVWpW\V
pifr_prr_pr cQi
Hg[VPUhLW`LLLWhLLLWhLWhhLh TPUhL
lg[P XDP
HPZ T[G^PZ
cmifrQp pifbnWer___p
fiB RoVQk
WFD[dAVWpWpW YVW
WHZpV $
iZB $
o HFDdcSmiBRkBc
XDdgPZ_ piOBnPZ_[]
GoOg W
fif W[dcmiBdWFGBW[Ff
GBRkBcm p
WFDFGBg WdiBpijXGBlH[FD[
AVW\VW IeVWpW
HPGB XDGKB
fiBRRY G]
RRlCTOkkfr_prr HFLGfrprbYner_
W[FD \NgT
dW T
fifr_ WFGfWr
heVWpWpW\VW\ A
eVlWQ piBe
cSSSmifr__ f[jfr
RRlCTOkkfr_prr_prr mQrMrrQ__prrpCr
fiBiB $
aG Od^hCD]
H GoOg
pifbne kVV
eSWEpW WdAVW
pifbHYr____pr A
pifbn fiQbnWbWWnW
Sci c
eVWoWp eVWboWo_\V
fiB fiBHiBTHLdgQB
fi fiBAGC
TZIf_ HPZ_
TZIf_Q HPZ_Q
fifbnWeb XGfbHYbGHcYoHYK
TdWPFqd H[[]d^hKNTn
R`pOip R`ZGSlgdWf
pifb ffH
$ HdT]
Hdf cMm
doOd TP
N[ $
cSSSmieVWpWpW\VIWpW eVWpW\VWpW
R_kCBXDFGDBa` g[P
WdXDFGfb XGfr_prbnWerprpHrb
HPGB XDGKB
fi p
c cDSp
R`pOipif R`ZGSlgdWfif
eVW\VWipW eVWoWpWpW
cSSmiBocSSVG cSV
eVWoWoWpW\VWo ii_DdAVWp
piBaiXR piBak`TOCDSV
T]d^hiXGBHPUhLL gHPUhLLWLLLmhWh^LWhWhWhL
R`ZDOKqicSmiBpi H[[FG
R`V[]OifiBfigBWFDd gd
eWoiW AVWoW
XGBG RRD
$ l
XGfr_ fifr^
ZT_ cmiBpiBTd
W[FGBMV fiBRRYOk
fi G
$ m
pV^ fifr___prrpr
foc cSmi
piBH[[]d^d^d bTOdY
eV edmpWo
$ m
XD RkBXGBHFGB
g TFDFGBgFqdT
O XGB
TLmir cSmifrprr
gLS] O
piBaKNVRpOCVRpOk [D
Xa agF
if akkf
R`VkfZ fifr
H[FDFDFGB eZV
TD HPGK[
piBaKNVRpOCVRpOk [D
WFGBc]iBUeVWp AVWo
mdcVbGG cSSSV
pifbHY piBTdfifrprrprprrpr
cSSSmieVWpWpW\VI eVWp
pif f[ifbnebHYr_pr
XGfbne fifrIKpSr
eVWpW\VWp TdWdAVWf\JV
$ bWSG^d
eVW\V edmp
cmiBAVko piBAV
pifbHYrprr__ [kmfr
R[SKOc Od^h
R`Z ]Rp
HPUh TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR
TPGjc YOhCag]jKH
T[[dpiBW $
$ P
$ N[
aXF W]hF
f pf
RoOCD lSSH
aG OR`D
HPFqdRkB WHZpV
RRlCTOkkfr_prr_prr_ cmifrQprr
R`ZGSlgdWfif pifrprbnWerpr
fiBTPUh gHPUhLLWLLLmhWh^LWhWhWhLL
f $
piBaGSVoOgdgFGBgDRP Od^jRPfSSrf
fiBiB $
c\SS piBc
$ piBTPFq
$ fiT
T \NgT
RRY cmiBd^d^d^hCp
fiBWFGf fiUf
cSSS nRTOiUiBk
RoOi qA
cmiBakRpOk` RTaO
RkP gd
XGBoR` aKT
T[G^PZ_ HPZ_
W[dcmiBdWFGBW[FfbH fifbH
HPFqe]hG]OG]P aia
XD NT
AVW\VWo W[]ifiBeV
gXdcVP`J` R`YOk
Od^jXaa fiBiOTa
c cDSp
XGfb TDXfb
H[[FG R`ZDOKqicSmiBpi
WdcmiB aiY
piBT]h R
BA gPFqDR
HPFq]j Z[PGM^D
$ TdaCYOkRVoOKE
H HSgq[
cSV mdcVb
pifbneb p[Wfb
TDX XG
aK H]hF
hB W]hkR
TPUhLW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
WP gFSDP
piBeVW XG_^BfiBAW
pfiBAVW fiBAVW
cSmifrp GBRkBcmifr_p
GBT TFGBH[
gPG^DKckkkWWW WDKkWkO[W
gGqf fifbnerpr
RoOK T
M a
eVWoW\VW\VWoW aieVWi
RkBpifrpr chmif_prbHYE
$ HFGBf
fif W[dcmiBdWFGBW[Ff
PGej g]
XD[PPKc qDec
fiBcV Od^hKNlk[
TNFGfbnebN pifr_prbH
Od^jRPfSSrf T]jRPffS
eVW\VW edmpW
H[DKHK gDgK
edmpWoW\ WdA
f[ifbnebHYr_prr_ pifr_
fifbH TNFGfbnebN
XDFD[dXGBT[dAVWoW\VWoW heVWpWpW\VW
c`miBXDD XD[PP
aGSV[SZOgFGfr pif__
HDRPCp DR`[S
HFDPU Hg[VPUhLW`LLLWhLLLWhLWhhL
cMmi Hdfi
Ydpi cSmiBOh
W[dcmiBdWFGBW[FfbHYb XGfbneb
aiH[FDFGB oO^lKZEXkoOCpOKNVRYOi
iBGcc p
HDKHR WFR
pifbnerr fifbHY
cSSSmifr___p dfiXr_prrD_p
piBaiXR piBak`TOCDSV
ffrprr fifr__prr
T Ydpig
piBAV cmiBAVko
PUhWhLLLLLWhWhLLFW fiBgPUhLLWhWhLLLLWhWhWhLLLLLLLW
$ Oh
cSSVP``````````````````` cfVP
XGBg]d^hkkfr fifr^_
XD[ XDSP
fhBS]d XGBH[dXGB
mn T]hK
H[[]d^hKNTng g
fiBW RkcH`
H[]d^jXaaaaaaaaaaa WPVHX
ak`TOKNpOKEE cmiBd^d^d^h
XaBak[ RRD
$ T
eii pi
$ HdT]
HFjf piBfif
X cV
pfi fi
eWoWffoW\Vr eVWpW
heVWpWpW\VW\V AV
gDKckk g]hiXDFD]fjKcWkk
fiBX XGX
R_kCBXDFGDBa` TP
